You test the leather strap. Wow, it IS durable!	你測試了一下皮帶。哇，還真耐用！
A rugged leather strap... your mind reels with the possibilities!	一條粗獷的皮帶……你的腦袋開始天馬行空了！
You turn the paper over, looking for a return address or something, but there isn't one.	你把紙翻過來，想找寄件地址之類的東西，但什麼都沒有。
You received this letter a few years back from your recently dearly-departed friend, Phil Graves:	這封信是幾年前收到的，寄信人是你最近剛過世的朋友，菲爾·葛雷夫斯：
"Dear Freddy, Thank you so very kindly for your recent gracious hospitality during my recent convalescence. The floor of your workroom proved a comfortable bed, and the stale Pharmacy goods you fed me staved off starvation quite adequately.	「親愛的佛萊迪，非常感謝你在我養病期間如此殷勤款待。你工作間的地板證明是張舒適的床，你餵我吃的過期藥局貨也足夠讓我不至於餓死。
"I must admit to being a little curious of your request that I retain your safety-deposit key for you; I cannot imagine what you have secured in that bank vault that could create such strong feelings of both revulsion and endearment.	「老實說，我對你要我替你保管保險箱鑰匙這件事有點好奇；我實在想不出你那銀行金庫裡藏了什麼，竟能同時讓人又噁心又依依不捨。
"However, I have done as you asked and taken your key with me. I vow to you I will never return this key to you nor even allow it within your sight. I further swear to keep it with me wherever I go.	「不過，我還是照你的要求，把鑰匙隨身帶走了。我向你發誓，絕不會把這把鑰匙還給你，也絕不讓它出現在你眼前。我更發誓，無論走到哪裡都會帶著它。
"On this you have my word of honor, for I am, Ever your friend, Philip D. Graves"	「以上所言，我以人格擔保。你永遠的朋友，菲利普·D·葛雷夫斯」
It's solid silver! You can't bend it, break it, or scratch it.	純銀打造！你彎不了它，也弄不斷、刮不花它。
It's Srini's 99.9% silver medallion, awarded to him by the American Society of Salves, Holistic Ointments, Liniments and Emollients Salesmen. (Think about it!)	這是斯里尼的99.9%純銀勳章，由「美國藥膏、順勢療法軟膏、擦劑與潤膚劑推銷員協會」頒發給他。（自己想想這縮寫吧！）
I think I'll count my money.	我想我該來數數自己的錢了。
Never do that when you're sitting at the table. (There'll be time enough for counting when the game is done.)	坐在牌桌上千萬別這樣做。（等牌局結束後有的是時間數錢。）
Finally, you get your four dollars and eighty-seven cents! Smithie's pharmacy tab is paid in full at last!	終於，你拿到你的四塊八毛七分錢了！鐵匠史密的藥局帳終於還清了！
Say, let me show you a little trick with a borrowed neckerchief... Now you see it...	嘿，讓我用一條借來的領巾變個小把戲……看好了，這裡有……
Now you don't!	現在不見了！
Just kidding.	開玩笑的啦。
Wow, if your old trusty neckerchief could only talk, boy, the stories this baby would tell!	哇，要是你那條老領巾會說話，天曉得能講出多少故事！
The tank of nitrous oxide is sealed; there's no way to open its valve with your bare hands. (But tanks for trying!)	這桶笑氣是密封的，光靠雙手根本打不開閥門。（不過還是謝了，算你有心！）
Sal uses this canister of nitrous oxide, also known as "laughing gas," to make sure his customers leave with a smile!	阿薩用這桶笑氣，也就是俗稱的「一氧化二氮」，來確保每位客人都笑著離開！
You dip your little finger in one of the open bottles of beer and taste it. Mmm, that hits the spot!	你把小指頭伸進一瓶開了的啤酒裡沾了沾嚐嚐味道。嗯，這味道正對！
You have a full case of opened Lowebrau. (Don't get caught with it in your buggy!)	你有一整箱已開封的羅氏啤酒。（可別讓人抓到馬車上藏著這箱酒！）
You squish the pie a bit to see what oozes out. (You sincerely hope them's apples!)	你捏了捏派，想看看擠出來的是什麼。（你真心希望那是蘋果！）
Ah, there's nothing quite like Mom's Apple Pie. Now if someone would just invent baseball: VOILA! Instant Americana!	啊，什麼都比不上老媽的蘋果派。現在只要有人發明棒球，瞧！立馬變成道地美國味！
You slip the bullets in the chamber as the old memories come rushing back (including a few featuring you and your first cousin out behind the barn, when you were both curious 8-year-olds!).	你把子彈裝進彈膛，往事一股腦湧上心頭（包括幾段你和表親躲在穀倉後面，兩個八歲小孩好奇亂搞的回憶！）。
With the Sheriff's cleaning kit, you lovingly clean and polish your old pistols 'til they're like new. Good thing you removed all that nasty rust from your barrel -- the damn thing could'a exploded right in your face!	你用警長的清潔工具組，仔仔細細地把老手槍擦得跟新的一樣亮。還好你把槍管裡那些討厭的鏽都清乾淨了——不然這玩意兒真有可能當場在你臉上炸開！
After removing the bullets, you clean and polish your pistols 'til they shine like a Coarsegold kid with his first passing grade. Good thing you removed all that rust from your barrel -- the damn thing could'a exploded right in your face! When you're done, you replace the bullets in the chamber.	卸下子彈後，你把手槍擦得閃閃發亮，亮得像粗金鎮小孩第一次考及格那樣得意。還好你把槍管裡的鏽都清掉了——不然這玩意兒真有可能當場在你臉上炸開！擦完之後，你把子彈裝回彈膛。
You cock the hammers, twirl the pistols, fake a shot, and slowly let the hammers back up. YES! That feels good, damn good!	你扳起擊錘，轉了轉手槍，假裝開一槍，再慢慢把擊錘放回去。爽！這感覺真是好，好得要命！
You draw your pistol.	你拔出了手槍。
You don't want to draw until you're ready to fire, and you can't possibly hit anything useful from here.	沒準備好要開槍前，你可不想拔槍，而且從這裡你也打不中什麼有用的東西。
