It's not a whip.	這不是鞭子。
YER tellin' ME, bwoy!	這還用你講，小子！
Whut in thunderation is thet thang?	那到底是啥鬼東西？
It's a gas mask. It'll help you breathe safely until I get the horses cured.	這是防毒面具。在我治好那些馬之前，能讓你安全呼吸。
Yer gonna cure them horses?	你要去治那些馬？
Why, of course! That's what you want, isn't it? You don't want the poor folks of Coarsegold to choke to death, do you?	那當然！這不就是你要的嗎？你總不會希望粗金鎮的可憐鄉親們被嗆死吧？
(SPUTTERS) Well, I...	（支支吾吾）這個，我…
Well, Sheriff? I'm waiting for an answer. Is that what you want?	怎樣，警長？我等你回答。這是你要的嗎？
(SPUTTERING) Why, I... I mean... you... I mean, NO! Of COURSE thet's not whut I want! An' anything you kin do to alleviate our current sichyation will be appershiated. MOST appershiated, Pharkle. Now take your little mask and git outta here. I got work ta do!	（吞吞吐吐）這個，我…我是說…你…我是說，不！我當然不是那個意思！你能幫忙緩解咱們現在的狀況，老夫感激不盡。萬分感激，法克勒。現在把你那小面具收一收，滾出去。老夫還有正事要辦！
Whaddaya call thet, Pharkwas?	你管那玩意兒叫啥，法克瓦？
It's "deflatulizer." It'll cure the horses of their terminal flatulence.	這叫「除屁劑」，能治好馬兒的末期脹氣症。
Oh. Well, thet's reallll good, bwoy, reallll good. You done the town a service. An' I ain't gorna forgit it. Nosiree bob. Ain't gorna forgit it.	喔。那可真是太好了，小子，真的太好了。你為鎮上立了大功。老夫不會忘記的。不，絕對不會忘。
You like snails, Sheriff?	警長，你喜歡蝸牛嗎？
I hates 'em! They're mean, slimy li'l critters.	老子恨死牠們了！那些黏答答的小畜生，壞透了。
Takes one to know one, eh, Sheriff?	惺惺相惜嘛，對吧，警長？
Whut? Quit talkin' crazy talk, bwoy. Yew bin out in the sun too long.	啥？別胡言亂語了，小子。你曬太陽曬太久了。
Yer not tryin' to BRIBE me to let chew open yer store back up, are ya?	你該不會是想賄賂老子，讓你把店重新開張吧？
What if I were?	如果我就是想呢？
If yew wuz, I'd have to ARREST ya fer tryin' to bribe a SHERIFF! Then ah'd hafta toss ya in the HOOSEGOW! Then ah'd hafta HANG YA. So ah'll ask ya again, wuz yew tryin' to BRIBE me?	那老子就得以行賄警長的罪名逮捕你！然後把你丟進大牢！接著還得吊死你。所以老子再問一次，你是不是想賄賂老子？
No. I was asking you to look at this money and give me your assessment of whether or not it's counterfeit.	不是。我是要請你看看這些錢，幫我鑑定一下是不是偽鈔。
It ain't. And thank kyew so much fer askin'! Right proper of you.	不是偽鈔。謝謝你來問老子，真是有禮數。
