Hello, Hopalong Singh!	哈囉，阿星大俠！
Hi-yah!!!	哈呀！！！
This not my table!	這不是我的桌子！
Hop Singh's a friend, not a foe! So quit pointing that thing at everyone.	阿星是朋友，不是敵人！別再拿那東西對著大家揮來揮去了。
Main Street is its usual busy self today.	大街今天一如往常地熱鬧。
What are you going to do? Holler loud enough for the whole town to hear?	你打算怎麼辦？扯開嗓子讓全鎮的人都聽見嗎？
You'd fall off the balcony if you tried to reach them from here!	你要是想從這裡搆到那些東西，肯定會從陽台上摔下去！
You can't try that from up here!	你在這上面沒辦法這麼做！
Don't waste your ammo shooting at innocents!	別把子彈浪費在無辜的人身上！
Caution: the Surgeon General has determined that you've gotten EXACTLY what you deserved.	警告：衛生署長認定，你得到的下場正是你應得的。
Next time, don't inhale.	下次記得別吸進去。
Poor, poor Freddy... died for lack of garlic butter!	可憐的佛萊迪啊……就這樣死於缺了大蒜奶油！
The Second Rule of the Old West Medicine Chest: Never drink your own mistakes!	西部藥箱第二守則：千萬別喝下自己調錯的藥！
Next time, try drinking something healthier... like radiator sealant.	下次試著喝點更健康的東西……比如水箱防漏劑。
Next time, don't inhale!	下次記得別吸進去！
Rest in pieces.	屍骨已碎，安息吧。
Guess you're a flatlander.	看來你就是那種平地來的生手。
As the town hero, you've been given the sack.	身為鎮上的英雄，你這下可被炒了魷魚。
A crushing defeat!	被壓得粉碎的慘敗！
Rest in pieces, Freddy Pharkas.	屍骨已碎，安息吧，佛萊迪·法卡斯。
That's what you get for firing a weapon that hasn't been cleaned since Lincoln was assassinated!	誰叫你去開一把從林肯遇刺後就沒清過的槍！
Shooting people point-blank is frowned upon in polite society.	在文明社會裡，近距離對人開槍可是很不得體的。
A bubblin' crude! Blood, that is. Red gold. Tourniquet Tea.	汩汩冒泡的原油啊！其實是血啦。紅色黃金，止血良藥。
You come to a sworded end!	你就這樣命喪劍下，劃下句點！
Maybe if you could've caught him red-handed...	或許你當初該人贓俱獲逮個正著才對……
It's Slime Time!	黏答答的時刻到了！
Take a burn!	給你點顏色燒燒！
Coarsegold's shot to hell now!	粗金鎮這下徹底完蛋了！
That death is too disgusting to describe!	這種死法噁心到沒法形容！
Dammit, Freddy, you're a pharmacist, not a veterinarian!	該死，佛萊迪，你是藥劑師，不是獸醫！
You've sold out. Some Western Hero YOU are!	你出賣了自己。你算哪門子的西部英雄！
