This is a good place to get hitched!	這裡正是拴馬——呃，喜結良緣的好地方！
The corner of Balance and Main isn't going anywhere. (At least, not until the next big earthquake hits California!)	平衡街和大街的路口哪兒也不會去。（至少要等加州下次大地震才會動！）
You're here at the busy corner of Balance Street, which runs north-south, and Main Street. Well, it's USUALLY busy. Well, it was busy once.	你現在站在平衡街（南北向）與大街交會的熱鬧路口。呃，通常很熱鬧啦。好吧，曾經熱鬧過。
Your shovel would break. And you'd get splinters in your hands and dirt in your eyes.	你的鏟子會斷掉，手上會扎滿木刺，眼睛裡還會進沙。
Funny, there's no answer from that.	奇怪，那東西沒有回應。
You take the rope. Now that Smithie's closed up shop, he won't be missing it.	你拿走了繩子。反正鐵匠史密已經關店走人，不會少這條繩子的。
Smithie left behind a coil of rope.	鐵匠史密留下了一捆繩子。
You can't reach him from here!	你這個角度碰不到他！
Matt Shaker is shaking his doormat out the window again. It's best not to walk underneath.	麥特·薛克又在窗邊甩門墊了，最好別站在下面。
Hey, Matt! Quit that! You're getting dust all over everything!	喂，麥特！別甩了！灰塵沾得到處都是！
Funny, Matt pays no attention to you.	奇怪，麥特根本沒理你。
You don't have a horse, whatta you need a saddle for?	你又沒有馬，要馬鞍幹嘛？
If this old worn-out saddle could only talk... it would probably complain about the prevalence of beans in the standard cowhand diet.	這副破舊的馬鞍要是會講話，大概會抱怨牛仔的伙食裡豆子放太多了。
From the condition of Coarsegold's sidewalks, it's easy to surmise the town lawyer left for greener pastures years ago!	看粗金鎮這人行道的慘狀，不難猜到鎮上的律師早幾年就跑去別處發財了！
You know it does no good to close the barn door once the Smithie's gone away!	鐵匠都走了，現在關門也於事無補！
Let Smithie decide if he wants his doors open or closed.	門要開要關，讓鐵匠史密自己決定吧。
Smithie has truly left town for good.	鐵匠史密是真的離開這個鎮了，不會再回來。
It's the door to Smithie's Blacksmith shop.	這是鐵匠史密打鐵舖的門。
I don't use none o' that moustache wax, Pharkas! I let muh soup keep muh moustache plastered in place!	俺才不用那種鬍子蠟，法卡斯！俺靠喝湯把鬍子黏得服服貼貼的！
Dab-nab it, Pharkas! Real men jes' don' go 'round a'touchin' other real men! 'Specially when they're as homophobic as we is!	該死，法卡斯！純爺們才不會到處亂摸別的爺們！尤其咱倆這麼恐同的傢伙！
Har! Muh hide's tough as leather, Pharkas. That thang'd just break off at the handle.	哈！俺這張皮跟牛皮一樣硬，法卡斯。那玩意兒只會斷在握把上。
Smithie, the village blacksmith, is a real hulk of humanity.	鐵匠史密是鎮上的打鐵匠，塊頭大得像座山。
Whut the Sam Hill y'expeck me to do with that medicine, Pharkas? I'm a strong, beefy kinda guy, I don't need no wuss medication!	你到底要俺拿那藥怎麼辦，法卡斯？俺可是個又壯又猛的漢子，才不需要那種軟腳藥！
I don' know nuttin' 'bout writin', Pharkas. That's more in your depar'ment.	俺對寫字這檔事一竅不通，法卡斯。那是你的專長。
You know, Smithie, I've been wondering about that horse of yours. What happened?	話說，史密，俺一直很好奇你那匹馬怎麼了？
Consarn neighborhood kids! Ya jes' can't leave anything outside at night any more without 'em strippin' it right down to the axles!	該死的鄰居小鬼！東西晚上放在外面，現在都會被扒得只剩車軸！
How's business, Smithie?	生意怎麼樣啊，史密？
Flatter'n cow plop, Pharkas! An' you?	比牛糞還扁，法卡斯！那你呢？
Actually, I'm doing okay. Not great, but I'm making it... in spite of this mild economic downturn we've been experiencing.	其實俺過得還行。不算好，但撐得下去……就算最近景氣有點差。
Bah! If'n I could find me a buyer, I'd unload this dump in a second!	哼！要是找得到買主，俺立刻把這破地方脫手！
Whoa! Thank ya, Mr. Pharkas. I always love a belt about this time o' the mornin'!	哇！謝了，法卡斯先生。俺這時間就愛來一口！
You recall with fondness, that wonderful old blacksmith who used to operate this shop. What the hell was his name, anyway?	你懷念地想起以前在這開店的那位老鐵匠。他到底叫什麼名字來著？
"Under the village chestnut tree, the spreading smithie stands..." ...No wait, that's not how it goes.	「村中栗樹下，枝繁葉茂的鐵匠站著……」……不對，不是這樣唱的。
Mr. Smith, the village blacksmith, is locally known as "Smithie" to his friends and customers.	史密斯先生，鎮上的鐵匠，朋友和顧客都叫他「史密」。
To the best of your recollection, you've never even heard his first name, not that it matters much. "Smithie" seems like a perfect name for a smithie!	就你印象所及，你從沒聽過他的名字，不過也無所謂。「史密」這名字給鐵匠正合適！
Hey, knock off the sound effects already!	喂，別再配那些音效了！
You take the leather strap. Smithie won't be needing it now, wherever he is!	你拿走了皮帶。鐵匠史密不管人在哪，反正都用不著了！
A length of leather bridle hangs on the Smithie's door.	一條皮製馬轡掛在鐵匠舖的門上。
Feels just like the streets of St. Louis... only some of the streets of St. Louis are paved!	感覺就像聖路易的街道……只不過聖路易好歹有幾條街鋪了路！
Once Coarsegold's brave pioneer settlers predicted Main Street would rival the Champs d'Elysee, Van Ness Boulevard, or Broadway. Now it rivals the Oregon Trail and is about as smooth!	粗金鎮當年勇敢的拓荒者曾預言，大街將媲美香榭麗舍大道、凡尼斯大道，甚至百老匯。如今它倒是媲美奧勒岡小徑，路面一樣顛簸！
There's nobody buried under the street here. (After all, this is when the word Teamsters began with a lowercase T!)	這條街底下沒埋人。（畢竟那年頭，趕車工會還只是個老實行業，可沒黑道傳聞！）
You don't need any algae.	你不需要什麼藻類。
Horses always appreciate a drink of nice fresh water from these green slimy troughs.	馬兒總喜歡從這些綠油油、黏答答的水槽裡喝口新鮮水。
It's just an old wreck. It won't help you.	這只是個破爛殘骸，幫不上你的忙。
This wagon has been lying here in this sad state of disrepair ever since Mr. Leech, the carriage-maker, headed back East to Detroit.	自從馬車工匠利奇先生回東岸底特律後，這輛馬車就一直癱在這兒，破爛成這副慘樣。
Oooph!	唔喔！
You've always assumed the Golden Balls Saloon must once have been a pawn shop.	你一直以為金球酒館以前八成是間當舖。
You leave that Saloon right where it is, buckaroo.	那間酒館你就讓它待在原地吧，牛仔老兄。
Mom's Cafe must have good food-- it's where all the stagecoaches stop!	老媽餐館的菜一定不錯——所有驛馬車都在這兒停靠！
You can't reach it from here, but you can just see that thin layer of cooking grease glistening off the building.	你這裡搆不著，但可以看到那層薄薄的油光在建築物上閃閃發亮。
