You can't play now.	現在還不能玩。
You're going to play on the seesaw, when the whole town is about to be gassed? I think not.	全鎮都快被毒氣籠罩了，你還想玩蹺蹺板？我看不必了。
You're not quite skillful enough to make a perfect three-point landing from the swing to the seesaw without breaking every bone in your body. (In other words, try it and you'll be the man with the flopping trapezium!)	你的身手還沒好到能從鞦韆完美三點著地跳上蹺蹺板，還全身骨頭完好無缺。（換句話說，你敢試，骨頭就等著散架！）
You've got no reason to put that particular item on the seesaw.	沒理由把那東西放上蹺蹺板。
It's a long plank firmly attached to some sort of axle, allowing one side to pivot upwards while the other side descends. When kids play on it, one of them teeters at the top and the other totters at the bottom. Say, you've got an idea for what you could call this thing...	這是一塊長木板，牢牢固定在某種軸心上，一邊翹起、另一邊就會下沉。小孩玩的時候，一個在上頭搖搖晃晃，一個在下頭顛顛簸簸。說起來，你倒是想到該幫這東西取什麼名字了……
(JUBILANTLY) A "kiddie-pult!"	（欣喜若狂）「兒童彈射器」！
The seesaw and the whole playground is deserted, no doubt because of the aroma. Funny, considering how infrequently the kids around here bathe, you wouldn't think they'd have noticed the horsey smell!	蹺蹺板跟整座遊樂場都空無一人，八成是因為那股臭味。說也奇怪，這裡的小孩本來就難得洗澡，你還以為他們根本聞不出馬騷味呢！
Sissy is in a foul mood. He'll bite your finger clean off.	娘娘腔心情很差，會把你的手指整根咬斷。
The child's sullen stare prevents you from attempting to interact in a constructive way.	這孩子陰沉的眼神讓你打消了跟他好好互動的念頭。
It's Sissy, playing on the slide! The boys call him that because his mother dresses him so effeminately!)	是娘娘腔，在溜滑梯玩呢！男孩們這樣叫他，是因為他媽把他打扮得太娘了！)
Hello, Sissy. My, your golden locks are looking pretty today!	你好啊，娘娘腔。哎呀，你今天的金髮真好看！
Sissy glares at you with a look that says, "I know 1,000 ways to cause pain to a human body. You wanna start counting?"	娘娘腔狠狠瞪著你，那眼神彷彿在說：「我知道一千種讓人吃苦頭的方法，你要不要開始數？」
After you went to all the trouble of stealing the ladder, now you want to try and redeem yourself by putting it back? Too late!	你好不容易把梯子偷來，現在想放回去贖罪？太遲了！
Kids climb to the top of this long curved plank and then slide down. Geez, ain't technology wonderful?	小孩爬上這塊長長的彎木板頂端，然後溜下來。天啊，科技真是了不起，是吧？
It's not polite to point at the street.	對著街道指指點點不太禮貌。
It's Edukashun Lane. Which reminds you of a little joke. What does the "N" on the Nebraska Cornhuskers helmet stand for? Knowledge!	那是「教育巷」（原文故意拼錯成 Edukashun）。這讓你想起一個冷笑話：內布拉斯加玉米剝殼隊(Cornhuskers)頭盔上的「N」代表什麼？知識(Knowledge)！
You've swung enough.	鞦韆盪夠了。
The swing is in use.	鞦韆有人在用。
Yes, the swing would let you get up a few feet in the atmosphere and perhaps escape the horrible fumes, but it wouldn't last long.	沒錯，盪鞦韆是能讓你飛高個幾呎，暫時逃離這股恐怖臭氣，但撐不了多久。
It's a short plank on two ropes, hung from a tree. Another high-tech children's amusement device!	這是一塊短木板，靠兩條繩子吊在樹上。又一項高科技兒童娛樂設施！
There's nobody playing on the swing right now, doubtless due to the toxic fumes.	現在沒人在盪鞦韆，八成是因為那股毒氣。
You consider shimmying up the tree, but your pelvis is simply too narrow to accommodate the girth of that trunk! (A feeling not wholly unfamiliar to Madame Ovaree!)	你考慮爬上樹，但你的骨盆實在太窄，容不下那樹幹的粗細！（這種感覺，歐薇莉夫人應該不陌生！）
It's either a spreading chestnut tree or a shedding sprucenut tree.	這不是枝繁葉茂的栗子樹，就是落葉紛飛的雲杉樹，搞不清楚。
The windows can only be opened or closed from the inside.	這些窗戶只能從裡面開關。
You can see the inside of the schoolhouse through the windows. It looks pretty much like the interior of a schoolhouse.	你能透過窗戶看到校舍內部，看起來就跟一般校舍內部差不多。
This ladder is propped up against the slide so the kids can play.	這座梯子靠在溜滑梯旁，方便小孩玩耍。
Good idea, Freddy! Wreck the little kids' playground equipment! You meany!	好主意啊，佛萊迪！去破壞小孩的遊樂設施吧！你這個壞心眼！
Don't go poking in there; that's where the tramps hang out. If you wanna poke some tramps, go to the Brothel!	別往那裡戳，那是流浪漢聚集的地方。想戳流浪漢，去妓院找吧！
The old red schoolhouse, the most solidly-built structure in town.	那間紅色老校舍，是鎮上蓋得最堅固的建築。
Hey, be careful! It IS the most solidly-built structure in town, but that's not saying much.	嘿，小心點！它確實是鎮上蓋得最堅固的建築沒錯，但這也沒什麼好說嘴的。
Flames jut from every loose board and hole in the old Assay Office! It must be arson! 'Cuz everything flammable in the Assay Office was stolen ages ago!	老驗金所每一塊鬆脫木板和破洞都竄出火焰！這一定是縱火！因為驗金所裡能燒的東西早就被偷光了！
You're too uncoordinated to heave the baking soda AND hold onto the swing at the same time. Maybe you should practice on smaller accomplishments first... like walking and chewing tobacco at the same time!	你手腳不夠協調，沒辦法一邊抓緊鞦韆一邊丟小蘇打粉。也許你該先從小事練起……比如邊走路邊嚼菸草。
Baking soda is everywhere, the result of your clever (though inadequate) solution to putting out the fire.	到處都是小蘇打粉，這是你那聰明（但不太夠力）的滅火妙計留下的成果。
The piles of baking soda aren't worth picking up. But, hey, it was thrifty of you to try!	這堆小蘇打粉不值得撿。不過，嘿，你想省著點用，精神可嘉！
What pluck! What prowess! What a ridiculous solution! (Still, you thought of it!)	好膽識！好本領！好荒謬的解決辦法！（不管怎樣，是你想出來的！）
You singlehandedly quenched the flames of the Assay Office by using the seesaw as a catapult for the baking soda! Too bad nobody was here to see it. They'll never believe you in the morning.	你獨力用蹺蹺板當彈射器，把小蘇打粉射出去撲滅了驗金所的大火！可惜沒人在場親眼看見。明天早上講出去，誰都不會信。
You've deposited your load of baking soda on one end of the teeter-totter. (Let's hope you know what you're doing!)	你把手上那堆小蘇打粉放上蹺蹺板的一端。（希望你知道自己在幹嘛！）
You can't reach the baking soda from way up here!	你在這麼高的地方，根本碰不到小蘇打粉！
This big ol' water tower was previously used by the train station; now it's junk.	這座老舊的大水塔以前是火車站在用的，現在只是堆廢鐵。
It's dangerously rickety; you don't want to go around disturbing it. Like Ol' Doc, it'll fall over eventually anyway.	它搖搖欲墜、危險得很，你可不會想去驚動它。反正就跟老大夫一樣，遲早會倒的。
You've got more important matters to attend to than pulling down this old wreck of a water tower!	你還有更重要的事要辦，沒空拆這座破水塔！
There's no need to lasso the water tower; you'll yank it right down!	沒必要用套索套水塔，你會把它整座扯倒的！
Over yonder is the Old Abandoned Miner's Commissary, where the miners used to eat before the mine closed down. Of course, the food over there is as fresh now as the day it was made!	那邊是廢棄礦工福利社，礦坑關閉前礦工們都在那裡用餐。當然，那裡的食物到現在還跟做好那天一樣「新鮮」！
You can't possibly reach that house from here.	你不可能從這裡碰到那間房子。
(SING BADLY) It's the last train to Coarsegold, and it's sunken at the station.	（五音不全地唱）這是開往粗金鎮的末班車，如今已沉沒在車站裡。
"I |c2|thought|c| I could, I |c2|thought|c| I could, I |c2|thought|c| I could..."	「我|c2|以為|c|我可以，我|c2|以為|c|我可以，我|c2|以為|c|我可以……」
You don't feel like taking the train right now! (And you can't get over to it, nohow.)	你現在沒興致搭火車！（反正你也沒辦法過去啦。）
