A child's slate sits rests on a nearby desk.	一塊小朋友的石板擱在附近的書桌上。
When I say "Drop 'em," I mean "Drop 'em!"	我說「放下傢伙」，意思就是「放下！」
When Freddy stepped inside, Penelope wuz standin' at the desk, packin' in a hurry. She didn't even notice him come in. Gazin' at her like that, Freddy saw her fer the conniving snake-in-the-grass she really wuz.	佛萊迪一走進屋內，就看見潘妮洛普正站在書桌前，手忙腳亂地打包行李，甚至沒注意到他進門。就這麼盯著她看，佛萊迪終於看清了她的真面目——一條狡詐陰險的毒蛇。
HEY, PENELOPE! What gives??	喂，潘妮洛普！這是怎麼回事？？
Oh... why, it's you! The silver handsome-eared stranger!	喔……怎麼是你！那個銀耳朵的帥氣陌生人！
Handsome silver-eared stranger, you mean.	你是說，銀耳朵的帥氣陌生人吧。
Oh, right! I... uh... I thought Kenny'd taken care of you...	喔，對！我……呃……我還以為肯尼已經把你解決掉了……
Are you kidding? He did just the OPPOSITE. He HURT me! Just look at my ear!	你在開玩笑嗎？他做的正好相反。他傷了我！你看看我的耳朵！
Why, you poor man... you poor, brave cowboy... you're wounded. Here, allow me to tear a strip off my undergarment...	唉呀，你這可憐的人……可憐又勇敢的牛仔……你受傷了。來，讓我撕塊內衣布條幫你包紮……
Penelope slowly moved her hands up to her bodice... and began to carefully unbutton it... one button at a time... staring straight into Freddy's eyes...	潘妮洛普緩緩將雙手移向自己的胸衣……小心翼翼地解開鈕扣……一顆接著一顆……眼睛直勾勾地盯著佛萊迪……
You know, ever since I saw you capture that big, bad gambler at the Saloon, I've been thinking about you... thinking about how I wanted you...	你知道嗎，自從我在酒館看見你制伏那個惡棍賭徒後，我就一直想著你……想著自己有多渴望你……
She slowly slipped her hands under the fabric.	她緩緩將雙手滑進布料底下。
Could this be MY Penelope? Is it hot in here, or is it just me?	這真的是我認識的潘妮洛普嗎？這裡是不是有點熱，還是只有我這麼覺得？
...thinking about how I |c2|needed|c| you...	……想著自己有多|c2|需要|c|你……
And before Freddy knew it, Penelope yanked a Derringer from her bosom and aimed it at him!	佛萊迪還沒反應過來，潘妮洛普已經從胸口抽出一把德林傑手槍，對準了他！
...DEAD, that is! Drop 'em, gunslinger! NOW!	……渴望你死！把槍放下，槍手！馬上！
You grab the slate, and whip it around just in the nick of time!	你一把抓起石板，千鈞一髮之際揮了過去！
