No, they're not interested in... WAIT A MINUTE! What in the hell are those girls doing?!	不，她們沒興趣……等等！那些女孩到底在幹什麼啊？！
I'm not sure, but I don't think it's legal on this side of the Sierra Nevada!	我不確定，不過我猜內華達山脈這一側大概不合法吧！
Well now, your exceptional generosity's gotta be reciprocated! Could I be interestin' you in a free shave?	哎呀，你這麼大方，俺總得回報一下才行！要不要俺幫你免費刮個鬍子啊？
No, thank you, Sal.	不用了，謝謝你，阿薩。
Then, how about a free wisdom tooth extraction?	那，免費幫你拔顆智齒如何？
Oh, mine are already out. Had 'em pulled in the dental department while I was in college. Needed the extra money for tuition.	喔，我的智齒早就拔光了。唸大學那時候在牙科部拔的，那時候缺學費啊。
Well, then, lemme see... watta I got in here that'd be a suitable swap?	好吧，那讓俺瞧瞧……看看這裡有什麼能拿來換的啊？
Why, thank you, Salvatore. Perhaps I can use this in some of my experiments.	哎呀，謝了，阿薩。說不定這個能用在我的實驗裡。
This-a no moustache wax! I dinna ken what kinda wax it is, either!	這個不是鬍鬚蠟啊！俺也不知道這到底是什麼蠟！
Nize-a switchblade! Now be a good laddie and put that thing away.	好一把彈簧刀啊！乖孩子，把那玩意兒收起來吧。
You aim the pistol at Salvatore.	你把手槍瞄準阿薩。
'Ay, what am I ever done to YOU, eh? I gotta wife anna kids at home! I'm-a hardworkin' shlub! I gotta no money! I was a-gonna retire soon, watch-a my kids grow up and move away, watch-a my wife growin' old and wrinkled and crabby. I was a-plannin' to die atta home, a poor anna broken man.	哎呀，俺到底是招你惹你了啊？俺家裡還有老婆孩子呢！俺就是個苦命的打工仔啊！俺什麼錢都沒有！俺本來還想快點退休，看著孩子長大搬出去，看著俺老婆變老變皺變兇，俺本來打算就這樣窮窮苦苦地死在家裡啊。
You're right. I can't do it. I won't do it.	你說得對。我下不了手。我不幹了。
You holster your pistol.	你把手槍收回槍套。
No, waitta momento... come-a to think on it, maybe it would be quicker anna more painless this way. C'mon, shoota me.	不，等一下……仔細想想，說不定這樣反而比較快、比較不痛。來吧，開槍打俺吧。
No, no, you were right the first time. Just forget it.	不不不，你剛剛的想法才對。這件事就算了吧。
Somma friend!	算什麼朋友啊！
Mmm, atta pie, she's-a looking sum good!	嗯，這派看起來真不賴啊！
Wanna trade for something?	要不要交換點什麼啊？
No thanks! I'm-a tryin' to watch-a my weight!	不用了！俺正在控制體重呢！
I'm-a not thirsty. Already hadda twenty cupsa coffee today, and ho boy, I'm-a bit shaky already!	俺不渴。今天已經喝了二十杯咖啡了，天哪，俺現在手都在抖啊！
Sure 'n begorrah, atsa' the Sheriff's gun cleaning-a kit!	哎呀我的媽呀，這是警長的槍械保養工具組啊！
Hey, you-a no gunslinger! What you do with-a those?	嘿，你又不是槍手！拿這些要幹嘛啊？
I thought I'd brush up on my shooting a bit... just in case.	我想說順便練練槍法……以防萬一。
Well, laddie, be careful now! Don't be putting' yer eye out! I hardly know ye!	好啦孩子，小心點！別把自己眼睛戳瞎了！俺才剛認識你沒多久呢！
I doan needa that, I'm-a no takin' any dental impressions today. But sure'n you're a nice lad for thinkin' of me.	俺不需要那個，今天沒在幫人做牙模啊。不過你會想到俺，真是個好孩子。
'Ay, you gotta prize! Bueno! 'ere's to yer!	哎呀，你中獎啦！太好了！敬你一杯！
Them's a funny-shaped silver bullets you forgin' there!	你打的那些銀子彈形狀真奇怪啊！
'Ay, 'atsa nize silver ear you gotta there!	哎呀，你那個銀耳朵做得真不賴啊！
Wottsa matta you? I'm-a look like a tailor to you? Faith 'n Begorrah, if I've been-a tellin' ya once, I've been-a tellin' you over anna over, I'm-a Dentist, Barber, Shoeshine, an' a Cobbler. I ain't no tailor!	你是怎麼回事啊？俺看起來像裁縫嗎？我的老天爺啊，俺都跟你講幾百遍了，俺是牙醫、理髮師、擦鞋匠兼補鞋匠，俺才不是裁縫！
Sal, do you still have that pair of boots I dropped off for a shine? I know it's been about six years now, but I just remembered I left them here!	阿薩，我之前拿來給你擦的那雙靴子還在你這兒嗎？我知道已經過了大概六年了，可是我剛剛才想起來我放在這裡！
Hmmm. Let me see... what's the number on this claim check? Lemme look under the counter here... Yep! Still here. Have 'em ready for ya next Tuesday!	嗯，讓俺瞧瞧……這張取件單的號碼是多少啊？俺找找看櫃檯下面……有了！還在這兒。下星期二幫你準備好！
Never mind. I'll just take them as is.	算了，我就這樣拿走好了。
Hey, don't worry 'bout the storage charges, okay?	嘿，別擔心保管費的事，好嗎？
You keep 'em! I no gotta anymore beige-anna-turquoise shoe polish!	你留著吧！俺已經沒有米色配藍綠色的鞋油了！
Atsa swell hankie you got there!	你那條手帕真不錯啊！
It's not a hanky, it's a neckerchief.	這不是手帕，是牛仔領巾。
If you say so, Freddy! Looksa-like a hankie to me! But hey, I'm-a no cowboy! I'm-a justa simple country barber/dentist/bootblack!	你說是就是吧，佛萊迪！俺看起來就像手帕啊！不過嘿，俺又不是牛仔！俺只是個鄉下的理髮師兼牙醫兼擦鞋匠而已！
'Ey, dis is a letter from-a Philip Graves! So? Ain't none-a my beeswax!	嘿，這是菲利普·葛雷夫斯寄來的信啊！那又怎樣？這不關俺的事！
I don't needa da shovel. I'm-a not diggin' anything.	俺不需要那把鏟子。俺又沒在挖什麼東西。
