Jeepers, I'm sorry, Mom. I'll do it right this time, just you wait and see.	天啊，對不起，老媽。這次我一定會做對，你等著瞧。
See that you do! And don't you dare charge me for this until you get it RIGHT!	你最好說到做到！在你搞對之前，休想跟我收錢！
I won't, I won't, consider it stricken from your tab.	不會不會，就當這筆帳一筆勾銷。
This is Helen Back, proprietor of Mom's Cafe.	這位是海倫·貝克，老媽餐館的老闆娘。
To get good food in Coarsegold, you have to go to Helen Back!	想在粗金鎮吃到像樣的東西，你得「上天堂又下地獄」跑一趟——不，是去找海倫·貝克才對！
So, how's the restaurant business?	餐館生意還好嗎？
Heh. Don't ask.	嘿，別問了。
Okay, sorry.	好啦，抱歉。
I swear my delicate constitution ain't up to the heat and flies this year. Hop Singh's spendin' more time swattin' flies than he is in the kitchen, he hardly has time to wash his hands. 'Course we ain't gettin' nuthin' delivered on time anymore 'cuz of the train; we gotta get our produce by Pony Express, and it ain't too pretty oncet gets here.	我跟你說啊，我這把老骨頭今年真的撐不住這種悶熱跟蒼蠅了。阿星在廚房裡趕蒼蠅的時間比煮菜還多，忙到連洗手的時間都沒有。現在火車也不來了，什麼東西都送不準時，食材都得靠驛馬快遞送，送到的時候啊，賣相都不怎麼樣了。
"Pony Express: When It Positively, Absolutely Has to Be There By The Industrial Revolution."	「驛馬快遞：包您在工業革命之前，絕對、肯定送達。」
But I don't wanna complain. Just get my prescription filled, will you? There's a lad.	不過我也不想抱怨啦。快幫我把藥配一配吧，乖孩子。
Hands off, buster. What do I look like, one of the Madame's girls? I'm a respectable woman! I run Mom's Cafe! I've got children your age, though of course you wouldn't know it to look at me! I'M SOMEONE'S MOTHER, for corn sake! So show me some RESPECT and just KEEP your HANDS to yourSELF! Now fill my prescription or I'll break your fingers.	手拿開，臭小子。你當我是什麼，歐薇莉夫人手下的姑娘嗎？我可是正經女人！我開的是老媽餐館！我孩子都跟你差不多大了，雖然看我這模樣你大概想不到！老天，我可是別人的媽啊！所以放尊重一點，手給我收好！現在快把我的藥配一配，不然我就打斷你的手指。
Does that look anything like my prescription?	這東西哪裡像我的藥方了？
No, but...	不像，可是……
Well, that's what I'm here for, and I'm not interesting in being sold something else!	我來就是為了拿藥，我才沒興趣被你推銷別的東西！
That's not mine. Now get back to my prescription.	那不是我的。快回去弄我的藥方。
Certainly you don't expect ME to fill this prescription!	你該不會指望「我」來配這帖藥吧！
Freddy, honey! Just slide that handsome pharmacist butt on over here, I got something I need from ya.	佛萊迪，親愛的！把你那藥師的俏屁股滑過來這兒，我有點事要找你幫忙。
Thank you, Freddy dear!	謝了，親愛的佛萊迪！
That's gonna be 22 cents, Sadie, but for you, I'll make it 19.	這樣是22分錢，莎蒂，不過看在你的份上，算你19分就好。
Whaddaya say we just sorta "take it out in trade," Freddy? I'm a mite short this week.	佛萊迪，咱們乾脆「以物易物」怎麼樣？我這禮拜手頭有點緊。
Well...	這個嘛……
Thank you, Freddy, you're a lambikins. Catch you tonight, maybe? Ta-ta!	謝了，佛萊迪，你真是個小可愛。今晚見，說不定喔？拜拜！
Morning, Sadie. What've you got?	早啊，莎蒂。你帶了什麼來？
I gotta prescription here I need filled... sumpin' that'll increase my womanly powers, iffn you know whut I mean. Be a dear and fill it for me right away, won't you? I simply can't wait to try it out.	我這兒有帖藥要配……是那種能增加女人味的東西，你懂我意思吧。乖，快幫我配一配好嗎？我實在等不及要試試看了。
Your wish is my command, Madame!	夫人的願望就是我的命令！
You take the prescription from the Madame. What a busy morning! You haven't had to fill this many prescriptions since Custer's troops stayed at the Dirty Sheets Hotel.	你從夫人手裡接過藥方。真是忙碌的一個早上！自從卡斯特將軍的部隊住進「髒床單旅館」以來，你就沒配過這麼多藥方了。
Oh, Freddy!	喔，佛萊迪！
Sadie! Back so soon?	莎蒂！這麼快就回來了？
I hate to say this, but one of the girls tried a swig of this. Now I'm down one girl! I'll have to send out to St. Louis for another! Would you mind very much looking at this and seeing what's up, honey?	我也不想這麼說啦，可是有個姑娘試喝了一口這個，現在我少了一個姑娘！我還得寫信去聖路易再找一個來補！親愛的，你能不能幫我看看這到底是怎麼回事？
Hmmm, very strange. OK, I'll give it another try. Dunno what went wrong...	嗯，真奇怪。好吧，我再試一次。不曉得是哪裡出了錯……
Freddy, sweetums?	佛萊迪，小甜心？
Sadie! I wasn't expecting to see you again so soon!	莎蒂！沒想到這麼快又見到你！
I hate to tell you, but one of the girls tried a smidge of this, just for fun. Now she's got a goatee. Can you figure out why this stuff seems to |c0|decrease|c| womanliness rather than |c0|increase|c| it?	我也不想講啦，可是有個姑娘鬧著玩試了一點點，現在她長出山羊鬍了。你能不能查出來，為什麼這東西是|c0|減少|c|女人味，而不是|c0|增加|c|呢？
That's a tough one. I'll do what I can, though. Hmmmmm.	這可難倒我了，不過我會盡力的。嗯……
