You're not going to show me your handkerchief trick, are you?	你該不會又要跟我玩那套手帕戲法吧？
Thanks anyway!	還是謝了！
Sam scans the letter quickly.	山姆很快地瞄過信件。
A letter to you from Phil Graves. So? Thanks for sharing it with me.	菲爾·葛雷夫斯寫給你的信。所以呢？謝謝你跟我分享啊。
Yep, I've got one, too. It does get a little deep around here sometimes, doesn't it?	嗯，我也有一封。這裡有時候的確會有點深，你說是吧？
I prefer the less pungent, more mellow, fart-in-a-bag. Thanks for thinking of me, though.	我比較喜歡沒那麼嗆、口味溫和一點的「屁在袋中」。不過還是謝謝你想到我。
Nice of you to consider me, Fred. But I don't get motion sickness. You hang onto it.	你有想到我真好，佛萊迪。不過我不會暈車暈船，你自己留著吧。
Is this for me? What a pal. Tell ya what, though, why don't you keep it for me? I've already got all that manure that Sadie, Smithie, Doc, and Chester brought me last month.	這是要給我的？夠朋友。不過這樣吧，你幫我保管就好？莎蒂、鐵匠史密、大夫跟切斯特上個月送我的那堆糞肥我都還留著呢。
Looks like you've been doing some lost-wax casting. Not bad, for an amateur.	看來你有在玩脫蠟鑄造啊。以業餘的來說算不錯了。
Doing some lost-wax casting, are you? What a guy.	在玩脫蠟鑄造啊？真有你的。
Nice mold. You're a multitalented individual, Fred.	模子做得不錯。你還真是多才多藝，佛萊迪。
It's a good likeness, but is it art?	做得挺像的，但這算是藝術嗎？
No, thanks. I've always heard it's unsafe to drink other people's prescriptions.	不了，謝謝。我一直聽說喝別人的處方藥不安全。
Not in the market, thanks.	我沒興趣買，謝了。
Looks like somebody scratched. And badly, too.	看來有人棄權了，而且輸得很慘。
You've got more important things to do right now than play with those balls!	你現在有更重要的事要做，別在那邊玩球了！
This roulette table is for Casino Night.	這張輪盤桌是賭場之夜專用的。
Now's a bad time to go for a spin. You've got responsibilities!	現在不是轉輪盤的時候，你可是有正事要辦！
This dice game is known as Chuck-A-Luck. Since you're living in Coarsegold, you've apparently chucked your luck already.	這種骰子遊戲叫「幸運骰」。既然你住在粗金鎮，看來你的運氣早就被丟光了。
It won't do you any good. The dice are missing and this isn't Casino Night.	玩了也沒用，骰子不見了，而且今天也不是賭場之夜。
It's a Moose head. The only domestic brand Sam serves!	這是一顆麋鹿頭。山姆這裡唯一供應的「國產」貨色！
Glancing around to make sure nobody's looking, you turn to the moosehead and say...	你左右張望確定沒人在看，然後轉頭對麋鹿頭說……
Hey, moose! Decided to quit while you were "a head?" (CHUCKLE)	嘿，麋鹿！決定要見好就「首」啦？（輕笑）
You chuckle quietly until you hear the moose reply, "Hey, buddy, you're really funny! Why, that's the first time I've heard that joke... TODAY!!"	你正暗自竊笑，卻聽見麋鹿回答：「嘿，老兄，你真幽默！要知道，這個笑話我今天可是……第一次聽到！！」
It's way out of reach. Just like prosperity.	那太高了，搆不到，就像榮華富貴一樣，可望不可及。
Here, moosey moosey! Have some cashola!	來，麋鹿麋鹿！賞你點銀兩！
The moose just looks at you as if to say, "I don't need your money. All I need is a home to hang my head on."	麋鹿只是看著你，彷彿在說：「我不需要你的錢，我只需要一面牆掛我的頭。」
That would certainly be adding insult to injury!	那樣做簡直是傷口上灑鹽！
It's a hat rack, where the patrons hang their hats, coats, gun belts... and the occasional short stranger!	這是頂帽架，客人們把帽子、外套、槍帶都掛在上面……偶爾還會掛個矮個子的陌生人！
It wouldn't do to be caught walking off with somebody's hat, coat, gun belt... or whatever.	要是被抓到順手牽走別人的帽子、外套、槍帶……什麼的，可就不妙了。
This is no time to be messing with that!	現在不是碰那個的時候！
It's a likeness of Chastity, one of the girls over at Madame Ovaree's. She's so lifelike, you feel as if you could just reach out and touch her. And you'd save $2.00 that way, too!	這是貞蒂的畫像，歐薇莉夫人那邊的姑娘之一。畫得栩栩如生，讓你感覺伸手就能摸到她。而且這樣還能省下兩塊錢呢！
Chastity, Chastity, Chastity.	貞蒂，貞蒂，貞蒂。
Shh, don't talk to me while I'm painting.	噓，我畫畫的時候別跟我說話。
