It isn't.	才不是。
Take it away.	拿走。
We don't do any GRILLING here, you fool! We FRY!	我們這裡不用「烤」的，傻瓜！是用「炸」的！
Oh, if only she would!	唉，她要是肯就好了！
Do I look like a person who's lost a key?	我看起來像是弄丟鑰匙的人嗎？
Not exactly, but...	也不是啦，不過……
Then take it away! Honestly, some people's children.	那就拿走啊！真是的，有些人家教養出的孩子。
That's not going to be ready 'til Tuesday.	那個要到星期二才會好。
Oh. I was hoping to...	喔，我是希望……
It was a joke. A JOKE! Do you even understand what a joke is? Honestly.	那是個笑話。笑話啦！你到底懂不懂什麼叫笑話？真是的。
That's clay! What am I supposed to do with it? Are you implying my complexion isn't what it ought to be?	那是黏土耶！你要我拿它做什麼？你是在暗示我的膚色不夠好嗎？
No, I'm...	不是，我是……
Then take it away. I've never been so insulted in all my life.	那就拿走。我這輩子還沒被這樣侮辱過。
Nothing HERE needs cleaning! We thoroughly wash everything before serving it. Isn't that right, Hop Singh?	這裡沒有什麼東西需要清潔！我們上菜前都徹底洗過了，對吧，阿星？
You told me not to waste water except when health department man...	你跟我說過除非衛生局的人來，不然不要浪費水……
It was a rhetorical question, dammit. Hop Singh: back to work. Freddy: stop pestering me.	那是反問句啦，該死。阿星，回去工作。佛萊迪，別再煩我了。
I wouldn't be caught DEAD in an outfit like that! What do I look like, some sort of cowboy?	我死也不會穿那種衣服！我看起來像牛仔嗎？
No, cowboys don't put on their makeup with putty knives!	不像，牛仔才不會用抹刀上妝呢！
If you don't like it, you don't have to drink it.	你不喜歡的話，不喝就是了。
You idiot, it's the HORSES that are sick, not my customers! They're all happily dining on my freshly-cooked specialties.	你這笨蛋，生病的是馬，不是我的客人！他們都開開心心地在吃我現做的招牌菜呢。
Well, I never!	哼，真是沒見過！
Maybe that's why she's so tense and irritable all the time.	也許這就是她整天緊繃易怒的原因。
I don't need that! I never get indigestion!	我不需要那個！我從來不消化不良！
You eat here, don't you?	你不是在這裡吃飯嗎？
Heavens no! I send out. What do you think I am, crazy?	老天，才不是！我都叫外送。你當我瘋了不成？
I don't want your steenkin' empties!	我才不要你那些臭空瓶！
You've got something absolutely putrid in that bag, Freddy Pharkas!	你那袋子裡裝的東西臭死了，佛萊迪·法卡斯！
So you want me to take it out of the restaurant?	所以你要我把它拿出餐館？
You might as well. We've already prepared the Blue Plate Special for today.	你最好這麼做。我們今天的招牌套餐都已經準備好了。
Well, that's a fine how-do-you-do! Walking in here with a doggie bag and expecting me to fill it for you.	哼，真是好樣的！拿個打包袋走進來，還指望我幫你裝滿。
I wasn't...	我沒有……
Oh, of course you were. I don't want to hear another word about it.	喔，你當然有。我不想再聽你多說一個字。
We're SAFE in here, you dolt! There's no gas in here!	我們在這裡很安全，你這呆子！這裡沒有瓦斯！
Really? Has she tried the Chili 'n Broccoli Surprise?	真的嗎？她試過「辣椒花椰菜驚喜」了沒？
That filth will attract flies! Get it out of here at once! You are truly disgusting! I'm flabbergasted! I'm speechless!	那髒東西會招蒼蠅的！馬上拿出去！你真是噁心到家了！我目瞪口呆！我無言以對！
As if!	才怪！
Tell me, what do I need an ice pick for when I've got Hop Singh's hands? They're deadly weapons! They're registered!	你說說看，我有阿星這雙手，還要冰錐做什麼？那雙手可是致命武器！還登記有案呢！
I don't remember needing anything from the Pharmacy right now. So pawn it off on one of your other victims!	我不記得現在需要藥局的任何東西。拿去甩給你其他受害者吧！
I already told you that I don't want that. Would you like me to find a NEW PLACE to put it?	我已經跟你說過我不要那個了。你要我幫你找個新地方塞嗎？
I don't think so.	我看不用了。
Good! I don't relish the thought either.	很好！我也不想去想那畫面。
I've got plenty of knives here already. I'm not ill-equipped, you know! Honestly.	我這裡刀具多得很。我可不是沒傢伙可用，你知道嗎！真是的。
I don't need a ladder. Whatever Hop Singh or I can't reach, we just throw things at.	我不需要梯子。阿星跟我搆不到的東西，我們就用丟的。
Get that rope away from me. I'm no heifer!	把那條繩子拿開。我又不是小母牛！
Not much!	才沒有咧！
What am I supposed to do with a leather strap? Honestly.	你要我拿皮帶做什麼？真是的。
Normally I'd LOVE to read somebody else's mail. But I'm just a bit busy right now.	平常我最愛偷看別人的信了。可是我現在有點忙。
Helen Back, proprietor of Mom's Cafe, is better known as Mom.	海倫·貝克，老媽餐館的老闆娘，大家都叫她「老媽」。
If she was my Mom, I'd run away from home!	她要是我老媽，我早就離家出走了！
So your assistant won a medal. Big deal. Hop Singh's won more Cordon Bleu awards than you can shake a spatula at.	所以你的助手拿了個獎章，了不起啊。阿星拿過的藍帶獎章，多到你數不清。
You don't owe me any money. You haven't bought anything from me in ages! You just come in here for the free coffee! Honestly.	你沒欠我錢。你已經好久沒跟我買過東西了！你只是來這裡蹭免費咖啡的！真是的。
Take that ragged old napkin away. I'd never use such a garish piece of garbage. Honestly!	把那條破爛的舊餐巾拿走。我才不會用那種俗氣的破布呢。真是的！
I don't know what that is, but I don't find it the least bit funny!	我不知道那是什麼，但我一點也不覺得好笑！
Figures.	早就猜到了。
Where did that come from? That looks like one of Hop Singh's!	那是哪來的？看起來像是阿星的東西！
I must confess, I took it. I need it. I promise to repay you.	我得承認，是我拿的。我需要它。我保證會還你。
You'd better! I don't want THAT one back anymore, you've dented it!	你最好是！那個我可不要了，你都弄凹了！
Seriously? You want to shoot this sweet old lady? The one everybody calls "Mom?" Yeah, good idea, but you just can't!	你是認真的嗎？你要對這位善良的老太太開槍？大家都叫她「老媽」的那位？嗯，想法是不錯，可你就是不能這麼做！
Take this smut out of here instantly! Wait a second, let me see those. Got 'er, got 'er, want 'er, got 'er, want 'er, had 'er, need 'er, want 'er, got 'er, got 'er. OK, thanks! Now get that smut out of here immediately!	把這些低俗東西馬上拿出去！等等，讓我瞧瞧。有了、有了、想要、有了、想要、有過、需要、想要、有了、有了。好，謝啦！現在馬上把這些低俗東西拿出去！
My backside is scarcely in need of lubrication! Honestly.	我的屁股才不需要什麼潤滑呢！真是的。
I don't cook with water. I cook with 100% fatback. So we won't be needing any of your half-assed concoctions in here!	我做菜不用水。我用百分之百的豬背油。所以我們這裡用不著你那半調子的玩意兒！
Take that filthy thing out of here. It's got graveyard clay all over it!	把那髒東西拿出去。上面全是墓地的黏土！
Morning, Helen!	早啊，海倫！
Freddy Pharkas! Since when are we on a first-name basis? Only my closest friends may call me "Helen." You and I are acquaintances, nothing more. Therefore, you should address me as "Mom."	佛萊迪·法卡斯！我們什麼時候變得可以直呼名字了？只有我最親近的朋友才能叫我「海倫」。你我不過是點頭之交罷了。所以你該叫我「老媽」。
Land's sake, I'm sorry, Hel... er, Mom!	我的老天，抱歉，海……呃，老媽！
That's better. Now, what did you want?	這樣才對。好了，你想要什麼？
Uh... When I remember, I'll let you know.	呃……等我想起來再跟你說。
Honestly, some people.	真是的，某些人哪。
Hel... Mom! Did you know that the Hotel's been shut down?	海……老媽！你知道飯店被停業了嗎？
Why, of course I did! Where on earth have you BEEN, Freddy Pharkas?	哎呀，我當然知道！你到底跑到哪裡去了，佛萊迪·法卡斯？
Any idea of who did it, or why?	知不知道是誰幹的，還是為什麼？
Sheriff Shift and Phineas were there, talking about it being a fire hazard and something about there being back rent owed. But I'm no gossip. Don't go by what I'm telling you!	席夫特警長跟菲尼斯當時都在，說什麼消防安全問題，還有拖欠房租的事。不過我可不是愛嚼舌根的人。你可別拿我說的話當真！
Have you heard anything else?	你還聽到什麼別的嗎？
I'm no gossip, Freddy Pharkas, and I've got work to do. Why don't you go do yours? Yes, I believe that's the best idea. You get along and get back to work.	我可不是那種愛嚼舌根的人，佛萊迪，我還有活要幹呢。你怎麼不去做你自己的事？對，我看這樣最好。你走吧，回去工作。
Mom, I apologize for leaving that little souvenir with you.	老媽，我很抱歉留了那個小「紀念品」給你。
I'm not talking to you right now. I'm ashamed to be your Mom. Now you just turn right around and go outside and THINK about what you've done for awhile. You can come back in here when you decide to behave like a human being again.	我現在不想跟你說話。當你老媽真丟臉。你現在馬上轉身出去，好好想想你幹了什麼好事。等你哪天想通了要像個正常人，再回來吧。
Mom, there was a fire last night that almost burned the whole town down.	老媽，昨晚有場火幾乎把整個鎮給燒了。
Don't you think I saw that for myself on the way to work this morning? Honestly!	你以為我今早上班路上沒親眼看到嗎？真是的！
Fortunately, I was able to put the fire out with a little baking soda.	幸好，我用了一點小蘇打就把火撲滅了。
