He did it! What a MANLY man! Riverboat gambler in the corner pocket!	他還真做到了！好一個有男子氣概的男人！賭船老千，一桿進袋！
Yee-hawwww!	呀呼∼！
I could have done that if I'd wanted to. I just didn't feel like it, that's all.	我要做的話早就做了，只是懶得做而已，就這樣。
Now, when the townsfolk caught wind o' how Aces'd been cheatin', the Sheriff had no choice but to arrest him and return all the deeds. But wouldn' ya know, no sooner had one brouhaha died down than anuther flared up...	話說鎮民風聞王牌耍老千的消息，警長不得不將他逮捕，把所有地契都物歸原主。誰曉得，一場風波才剛平息，另一場又起了頭…
A brass rail runs along the length of the bar. This is a decorative, if uncomfortable, place for the drunks to rest their heads. It must be made of very hard metal as it has withstood the test of heels for many years.	一根黃銅欄杆沿著吧台延伸。這是個裝飾用、卻不怎麼舒服的地方，供醉漢趴著休息。它一定是用很硬的金屬打造的，畢竟多年來禁得起鞋跟的摧殘。
Aces' is holding his cards tightly. One of his hands appears unusually stiff. Maybe he's nervous?	王牌把牌握得死緊。他有隻手看起來異常僵硬，難道是緊張了？
Don't touch my cards, Silver Boy. You wouldn't want to be accused of CHEATING, would you?	別碰我的牌，銀耳小子。你該不會想被人說是在作弊吧？
Despite his slimy demeanor and underhanded undertaking, you can't bring yourself to shoot him point-blank. You'll have to find a better way.	儘管他油腔滑調、行事卑鄙，你還是下不了手當場斃了他。你得想個更好的辦法。
It appears to be a third hand! So THAT'S how Aces is cheating!	這看起來是第三隻手！原來王牌就是這樣作弊的！
Wheaton "Aces" Hall, slick big-time, back-East, riverboat gambler, has turned the saloon's friendly poker game into vicious high-stakes gambling, winning money, land, buildings, and businesses from the local bumpkins.	惠頓「王牌」霍爾，一個從東岸來的油滑大牌賭船老千，把酒館裡友善的撲克局變成了兇狠的高額賭局，從當地土包子手裡贏走了錢財、土地、房產與生意。
Scoot along, Silver Boy, before I deal you the Dead Man's Hand.	快滾吧，銀耳小子，免得我發給你一手死人牌。
Quit prodding me, stranger. I'll finish with you later.	別再戳我了，陌生人。等會兒再跟你算帳。
Take it away. Can't you see I'm busy?	拿走拿走。你沒看到我正忙著嗎？
I can see you're up to no good! And I can see you're holding three of a kind, Kings, and the rest of your hand is garbage.	我看得出你不懷好意！我還看得出你手裡有三條老K，剩下的牌全是垃圾。
Shut up! Don't listen to him, boys, he's just trying to rattle ya.	閉嘴！別聽他的，各位，他只是想擾亂你們的心。
Aces is clearly winning by a mile. He's piled up a lot of chips, in addition to a pocketful of property deeds!	王牌顯然贏得遙遙領先。他堆了一大疊籌碼，口袋裡還塞滿了地契！
Hands off that! It's mine, I won it, fair and square!	手拿開！那是我的，我光明正大贏來的！
Are you sure about that?	你確定嗎？
Am I sure? Am I SURE? I'm the most honest gambler in this town!	我確定？我確定？我可是這鎮上最誠實的賭徒！
(SARCASTICALLY) Oh, like THAT'S saying much!	（諷刺地）喔，那還真是了不起呢！
Ollie's money is dwindling rapidly.	奧利的錢正快速縮水。
Don't take Ollie's money, he needs all he can get right now.	別拿走奧利的錢，他現在能省一分是一分。
Coarsegold has really gone to pot now!	粗金鎮這下真是徹底完了！
Hey, hey, hey. Nobody at this table's gonna take kindly to you walking off with the chips.	嘿，嘿，嘿。這桌上沒人會樂見你捧著籌碼走人。
That's old Ollie Oxenfree, up close and personal! He's the guy who owns the fig farms on the northern side of Collier Bluff. He's the worst gambler in town! He'll lose the entire North 40 in no time!	那是老奧利·奧克斯弗里，近距離讓你瞧個仔細！他就是柯里爾崖北邊那片無花果農場的主人。他是全鎮最爛的賭徒！用不了多久他就會把北邊那四十畝地全輸光！
Don't waste your breath. Ollie needs what little concentration he has just to hang onto his farm a few minutes more.	別白費唇舌了。奧利那點僅剩的專注力，全用來讓他的農場多撐個幾分鐘。
Gambling away his Keg 'n Barrel shop is Cooper "Coop" Cooper. He, his wife, his children and his parents all work in his barrel shop. He's a cooper, she's a cooper, they're all coopers. (Wouldn't you like to be a cooper too?)	正在把「木桶酒窖」店輸光的是庫柏「箍桶匠」庫柏。他、他老婆、他的孩子、還有他爸媽，全都在他的木桶店裡幹活。他是箍桶匠，她也是箍桶匠，全家都是箍桶匠。（你是不是也想當個箍桶匠呢？）
Cooper, please! You can't lose everything, you just can't!	庫柏，拜託！你不能輸光一切，真的不能！
He doesn't speak, but his attitude is clearly, "Oh, yeah? Just watch me!"	他一句話也沒說，但態度分明是：「是嗎？你就瞧好了！」
Don't bother him now; he's trying to recoop!	現在別煩他；他正想把老本「箍」回來呢！
That's Muff Potter. Nice to see him and Joe getting along again! He owns -- or at least, he DID own until he started playing -- a huge tract of land along the south side of town, where Chinatown used to be.	那是馬夫·波特。真高興看到他跟喬又和好了！他名下有——至少在他開始賭之前是有——鎮南一大片地，那裡以前是唐人街。
Muff nods his head in agreement, and keeps playing. Muff's never been too bright.	馬夫點頭表示同意，繼續賭他的牌。馬夫向來不太聰明。
Don't poke him right now, he's concentrating on losing everything. And doing a damn good job of it, too!	現在別戳他，他正專心致志地輸光一切。而且輸得相當漂亮！
