Welp, bring it back when it's full, and we'll get stinkin'!	啊，裝滿了再拿回來，咱倆好好喝個痛快！
Hey! Smart thinkin', sonny! Didja get big points fer that?	嘿！腦筋動得快嘛，小子！那樣做有沒有加很多分啊？
Pretty good, yeah.	還不錯，嗯。
Well, all right then! Good goin'! Yew'll be a hero yet!	喔，那就成啦！幹得好！你早晚會變成英雄的！
That stuff don't do me any good. M'hemorrhoids're too far gone for that pap. Little bit o' horse glue, though, an' I'm back in the saddle agin!	那玩意兒對俺沒啥用。俺的痔瘡都嚴重到那種糊藥膏救不回來了。倒是來點馬皮膠，俺立馬又能騎馬啦！
I don't drink beer!	俺不喝啤酒的！
Yew bin drinkin' the wrong beer, then. Yuh need a beer with the flavor that stays with yuh, beer after beer.	那你肯定喝錯啤酒啦。你得喝那種一杯接一杯，滋味還留在嘴裡的啤酒才行。
Hey, I may LOOK like an old goat, but I don't eat like one!	嘿，俺看起來是像隻老山羊沒錯，可俺吃東西可不像山羊那樣亂啃！
I cain't carve nuthin' with THAT! It ain't got a blade! 'Spoze I could poke holes in sumpthin' with it, but I don't really need to.	俺沒法用『那個』雕東西啦！它根本沒刀刃！頂多拿來戳幾個洞，可俺也用不著。
That's whut ya calls yer charcoal, boy. Whut of it?	小子，那玩意兒你們叫木炭吧。怎麼了？
I'm not sure why I've got it.	我也不知道自己怎麼會有這個。
So what else is new, boy! You bin walkin' around, pickin' up everthing that ain't nailed down! You'll find a use for it eventually, I'm sure.	這有什麼稀奇的，小子！你成天到處亂晃，看到沒釘死的東西就往口袋塞！俺相信你遲早會找到它的用處。
Don't whup me, boy! Don't whup me!	別揍俺啊，小子！別揍俺！
No thanks, I hate eatin' charcoal outta a feed bag.	不用了，謝謝，俺最討厭從飼料袋裡挖木炭吃。
It's a gas mask, not a feed bag.	這是防毒面具，不是飼料袋。
Well, whutever it is, I don't need to be strappin' it on like some danged fool. You go ahead. It suits you better.	管它是什麼，俺才不要把那玩意兒往臉上綁，活像個大傻瓜。你自個兒留著吧，戴起來比較適合你。
I don't need any of that pharmacy crap. I've got the constitution of an oxe. <wheeze> <hack> <cough>	俺才不需要那些藥局的破玩意兒。俺這身板壯得跟牛一樣。<喘><咳><咳嗽>
Escargot sushi!	蝸牛壽司！
What what?	什麼什麼？
Never mind, kid. You'll learn whut it means in another 100 years or so. Now skedaddle!	算了，小鬼。再過個一百年左右你就懂那是啥意思了。快滾吧！
You don't owe me nothin'. Take it away afore I change m'mind.	你什麼都不欠俺。趁俺還沒改變心意，快拿走吧。
I dasn't drink beer, young 'un! How d'yall think I got to be this age?	俺可不敢喝啤酒，小娃兒！你以為俺是怎麼活到這把年紀的？
I don't know, sir.	我不知道，先生。
Well, it warn't by drinkin' that St. Louie pisswater. Make mine rotgut, every time!	反正不是靠喝那種聖路易尿水啤酒活下來的。俺每次都要喝烈酒才對味！
They're empty, son!	它們是空的，小子！
I know!	我知道！
Well, whut'd you want me to do with 'em? Pee in 'em?	那你要俺拿它們幹嘛？尿在裡頭嗎？
Maybe.	也許吧。
