That would probably do something, but nothing you need to do now.	That would probably do something, but nothing you need to do now.
That's just another bit of authentic Western scenery.	That's just another bit of authentic Western scenery.
You can't think of anything to say to that.	You can't think of anything to say to that.
You can't walk there; at least, not thisaway.	You can't walk there; at least, not thisaway.
There's no need to touch that.	There's no need to touch that.
That just doesn't work like that.	That just doesn't work like that.
Click here to change to the Move cursor, then click the Move cursor on the main screen. Freddy will walk to that spot (or as close to it as he can).	Click here to change to the Move cursor, then click the Move cursor on the main screen. Freddy will walk to that spot (or as close to it as he can).
If you have a two-button mouse, click the right mouse button to cycle through all the available cursors without returning to this Icon Bar.	If you have a two-button mouse, click the right mouse button to cycle through all the available cursors without returning to this Icon Bar.
If you have a three-button mouse, click the middle mouse button to switch between the Move cursor and the previous cursor.	If you have a three-button mouse, click the middle mouse button to switch between the Move cursor and the previous cursor.
Click here to change to the Look cursor, then click the Look cursor on the main screen to look at things.	Click here to change to the Look cursor, then click the Look cursor on the main screen to look at things.
Click here to change to the Hand cursor, then click the Hand cursor on the main screen to do things.	Click here to change to the Hand cursor, then click the Hand cursor on the main screen to do things.
Click here to change to the Talk cursor, then click the Talk cursor on characters in the game to speak with them.	Click here to change to the Talk cursor, then click the Talk cursor on characters in the game to speak with them.
Do you really want to skip ahead and possibly miss the best part of the whole game (heh, heh, heh)?	Do you really want to skip ahead and possibly miss the best part of the whole game (heh, heh, heh)?
Yes	Yes
Oops	Oops
You're so impatient!	You're so impatient!
Click here (or press <Ctrl-I> or <Tab>) to see what you are carrying in Inventory.	Click here (or press <Ctrl-I> or <Tab>) to see what you are carrying in Inventory.
Click here (or press <Ctrl-C>) to bring up the Control Panel, where you may adjust how the game works.	Click here (or press <Ctrl-C>) to bring up the Control Panel, where you may adjust how the game works.
Click here to change to the Question Mark cursor, then pass the Question Mark over the other icons to learn what they do.	Click here to change to the Question Mark cursor, then pass the Question Mark over the other icons to learn what they do.
After you select an inventory item, it is displayed here. To use that item in the game, first click here to make it your cursor, then click that cursor on the main screen.	After you select an inventory item, it is displayed here. To use that item in the game, first click here to make it your cursor, then click that cursor on the main screen.
If this window is empty, click on the inventory icon to open the inventory window, then select an item there. (The inventory icon is the saddle bag just to the right of your Question Mark.)	If this window is empty, click on the inventory icon to open the inventory window, then select an item there. (The inventory icon is the saddle bag just to the right of your Question Mark.)
Click this here icon to leave the present scene.	Click this here icon to leave the present scene.
You're way too busy right now to do that. Try again later.	You're way too busy right now to do that. Try again later.
Going to spend a little time catching up on your professional reading, Freddy?	Going to spend a little time catching up on your professional reading, Freddy?
Don't quit now!	Don't quit now!
Quit	Quit
When this icon is available, you may click here to "Fast Forward" to the next interactive part of the game.	When this icon is available, you may click here to "Fast Forward" to the next interactive part of the game.
This area displays the number of points you have earned so far, followed by the maximum score possible.	This area displays the number of points you have earned so far, followed by the maximum score possible.
Do you really want to start the game over again from the very beginning?	Do you really want to start the game over again from the very beginning?
Restart the Game?	Restart the Game?
Restart	Restart
Restore	Restore
Continue	Continue
Play	Play
Help	Help
Prologue	Prologue
