That would probably do something, but nothing you need to do now.	那樣大概會有點反應，不過現在還用不著。
That's just another bit of authentic Western scenery.	那不過是道地西部風景的一部分罷了。
You can't think of anything to say to that.	你實在想不出該對它說什麼。
You can't walk there; at least, not thisaway.	你走不過去；至少，不是走這條路。
There's no need to touch that.	沒必要去碰那個。
That just doesn't work like that.	那樣是行不通的。
Click here to change to the Move cursor, then click the Move cursor on the main screen. Freddy will walk to that spot (or as close to it as he can).	點這裡切換成「移動」游標，再到主畫面點一下，佛萊迪就會走到那個地方（或盡量走近）。
If you have a two-button mouse, click the right mouse button to cycle through all the available cursors without returning to this Icon Bar.	如果你用的是雙鍵滑鼠，按右鍵就能依序切換所有游標，不必回到這條圖示列。
If you have a three-button mouse, click the middle mouse button to switch between the Move cursor and the previous cursor.	如果你用的是三鍵滑鼠，按中鍵就能在「移動」游標和前一個游標之間切換。
Click here to change to the Look cursor, then click the Look cursor on the main screen to look at things.	點這裡切換成「察看」游標，再到主畫面點一下就能查看物品。
Click here to change to the Hand cursor, then click the Hand cursor on the main screen to do things.	點這裡切換成「手」游標，再到主畫面點一下就能操作物品。
Click here to change to the Talk cursor, then click the Talk cursor on characters in the game to speak with them.	點這裡切換成「對話」游標，再點遊戲中的角色就能跟他們交談。
Do you really want to skip ahead and possibly miss the best part of the whole game (heh, heh, heh)?	你真的要跳過去，錯過整部遊戲最精采的部分嗎（嘿嘿嘿）？
Yes	是
Oops	哎呀
You're so impatient!	你也太沒耐性了吧！
Click here (or press <Ctrl-I> or <Tab>) to see what you are carrying in Inventory.	點這裡（或按 <Ctrl-I> 或 <Tab>）查看你身上帶的物品。
Click here (or press <Ctrl-C>) to bring up the Control Panel, where you may adjust how the game works.	點這裡（或按 <Ctrl-C>）叫出控制面板，可以調整遊戲的運作方式。
Click here to change to the Question Mark cursor, then pass the Question Mark over the other icons to learn what they do.	點這裡切換成「問號」游標，再把問號移到其他圖示上，就能了解它們的功能。
After you select an inventory item, it is displayed here. To use that item in the game, first click here to make it your cursor, then click that cursor on the main screen.	選好物品欄裡的東西後，會顯示在這裡。要在遊戲中使用該物品，先點這裡把它變成游標，再到主畫面點一下。
If this window is empty, click on the inventory icon to open the inventory window, then select an item there. (The inventory icon is the saddle bag just to the right of your Question Mark.)	如果這個視窗是空的，就點物品欄圖示打開物品欄視窗，再從裡面選一項。（物品欄圖示是問號右邊那個馬鞍袋。）
Click this here icon to leave the present scene.	點這個圖示就能離開目前的畫面。
You're way too busy right now to do that. Try again later.	你現在忙得很，沒空做那件事，晚點再試試看。
Going to spend a little time catching up on your professional reading, Freddy?	打算花點時間看看你的專業書籍嗎，佛萊迪？
Don't quit now!	現在別放棄啊！
Quit	離開
When this icon is available, you may click here to "Fast Forward" to the next interactive part of the game.	這個圖示可用時，點一下就能「快轉」到遊戲下一個互動段落。
This area displays the number of points you have earned so far, followed by the maximum score possible.	這裡顯示你目前拿到的分數，後面是滿分。
Do you really want to start the game over again from the very beginning?	你真的要從頭重新開始這款遊戲嗎？
Restart the Game?	重新開始遊戲？
Restart	重新開始
Restore	載入
Continue	繼續
Play	開始
Help	說明
Prologue	序幕
Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST. Your Password Code is: 100101110101100011010101011010001.	Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. 感謝您遊玩《多情藥師酷牛仔》。你的通關密碼是：100101110101100011010101011010001。
Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. This is a work of fiction. Any resemblance between the characters and the events in this game is strictly a result of your overactive imagination. Deal with it.	Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. 本作純屬虛構。本遊戲中的人物與事件若有雷同，純粹是您想像力太過旺盛所致。自己看著辦吧。
Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST. Now go out and play. Get out of the house. It's a beautiful day outside.	Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. 感謝您遊玩《多情藥師酷牛仔》。現在出去玩吧。離開屋子。外頭天氣好得很呢。
Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST. If there are any other games you'd like us to make for you, just let us know.	Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. 感謝您遊玩《多情藥師酷牛仔》。還想要我們做什麼遊戲，儘管開口。
Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST. Can we go home now?	Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. 感謝您遊玩《多情藥師酷牛仔》。那我們可以回家了嗎？
Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST. Remember: our game is YOUR game. Play it whenever you like.	Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. 感謝您遊玩《多情藥師酷牛仔》。記住：我們的遊戲就是「你的」遊戲。想玩隨時玩。
Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST. Remember: real life rots your brain. Play more computer games.	Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. 感謝您遊玩《多情藥師酷牛仔》。記住：現實人生會腐蝕你的腦袋。多打點電動吧。
Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST. Freddy Pharkas rules! All other games... TAKE A BURN!	Copyright (c) 1994 Sierra On-Line. Copyright (c) 1993 Screw Loose Amusements. 感謝您遊玩《多情藥師酷牛仔》。《多情藥師酷牛仔》最強！其他遊戲……通通閃邊去！
You're beginning to feel a little light-headed. Better use your gas mask!	你開始覺得有點頭暈了，最好戴上防毒面具！
Ahh! Now you can see this prescription the way Doc wrote it.	啊哈！現在你能看清楚大夫原本寫的處方箋了。
Memory fragmented	記憶體碎片化
So what?	那又怎樣？
Debug	除錯
< Pick a Puzzle >	＜挑選關卡＞
< Restore >	＜讀取存檔＞
Ready for Business	準備開張
Prescription #1	處方箋一
Prescription #2	處方箋二
Prescription #3	處方箋三
Corrected Prescription	修正後處方箋
Preparation G	G藥膏
Sheriff Shutdown	撂倒警長
Gas Mask	防毒面具
Flatulent Horses	脹氣馬群
Snail Stampede	蝸牛暴走
Lemmings	旅鼠
Hire a Sidekick	雇用幫手
Contaminated Water	污染水源
Burning of Coarsegold	粗金鎮大火
Madame Ovaree	歐薇莉夫人
Arm Yourself	武裝自己
Target Practice	打靶練習
Quickdraw Practice	快槍練習
Dress Up	換裝
Card Shark	賭場老千
Rowdy Cowhands	鬧事牛仔
Lever Brothers	槓桿兄弟
Kenny's Quickdraw	小鬼肯尼的快槍
Schoolhouse Showdown	校舍對決
Trapped in Basement	困在地下室
Sword Fight	劍鬥
Killing Kenny	殺死肯尼
< Act 1 >	＜第一幕＞
< Act 2 >	＜第二幕＞
< Act 3 >	＜第三幕＞
< Act 4 >	＜第四幕＞
< Epilogue >	＜尾聲＞
Pick a Puzzle	挑選關卡
Where to, Pardner?	要去哪兒，夥計？
Pick a Puzzle	挑選關卡
FREDDY PHARKAS, FRONTIER PHARMACIST is brought to you in living VGA by the hombres out at Sierra On-Line, Inc. and Screw Loose Amusements.	《多情藥師酷牛仔》以全彩VGA呈現，獻給各位的是Sierra On-Line公司與Screw Loose Amusements的好漢們。
Designed and written by Al Lowe and Josh Mandel	設計與編劇：Al Lowe 與 Josh Mandel
Produced and Directed by Josh Mandel	製作與導演：Josh Mandel
Authentic Western Art by Bob Gleason, Ruben Huante, Phy "No Relation" Williams, and Karin Young	道地西部美術：Bob Gleason、Ruben Huante、Phy「沒有親戚關係」Williams，以及 Karin Young
Authentic Western Programming by Steve Conrad, William R. Shockley, and Cynthia L. Swafford	道地西部程式設計：Steve Conrad、William R. Shockley，以及 Cynthia L. Swafford
Authentic Western CD-ROM Conversions by Steve Conrad and William Shockley	道地西部光碟版轉製：Steve Conrad 與 William Shockley
Authentic Western Audio Engineering by Dan Kehler, Rick Spurgeon, and Kelli Spurgeon	道地西部音效工程：Dan Kehler、Rick Spurgeon，以及 Kelli Spurgeon
Authentic Western Voices by Cam Clarke as Freddy Pharkas Neil Ross as The Narrator Kath Soucie as Penelope Primm Lewis Arquette as Whittlin' Willy Michael Gough as Kenny the Kid	道地西部原聲演出　Cam Clarke 飾 佛萊迪·法卡斯　Neil Ross 飾 旁白　Kath Soucie 飾 潘妮洛普　Lewis Arquette 飾 削木威利　Michael Gough 飾 小鬼肯尼
Authentic Western Voices by Jan Rabson as Sam Andreas Richard Paul as Chester Field Susan Silo as Helen Back Nicolas Guest as Srini Lewis Arquette as P. H. Balance	道地西部配音：Jan Rabson 飾 山姆·安德烈亞斯｜Richard Paul 飾 切斯特·菲爾德｜Susan Silo 飾 海倫·貝克｜Nicolas Guest 飾 斯里尼｜Lewis Arquette 飾 P. H. 巴蘭斯
Authentic Western Voices by Jan Rabson as Wheaton "Aces" Hall Michael Gough as Salvatore O'Hannahan Susan Silo as Madame Ovaree Nicolas Guest as Hop Singh	道地西部配音：Jan Rabson 飾 「王牌」惠頓·霍爾｜Michael Gough 飾 薩瓦多·歐哈納翰｜Susan Silo 飾 歐薇莉夫人｜Nicolas Guest 飾 阿星
Authentic Western Voices by Bill Bryant as Doc Gillespie Jocko Marcellino as Smithie Richard Paul as Sheriff "Chicken" Shift Jan Rabson as Diamond Jim Laffer	道地西部配音：Bill Bryant 飾 大夫吉勒斯比｜Jocko Marcellino 飾 鐵匠史密｜Richard Paul 飾 警長「膽小鬼」席夫特｜Jan Rabson 飾 鑽石吉姆·拉弗
