This is a good place to get hitched!	This is a good place to get hitched!
The corner of Balance and Main isn't going anywhere. (At least, not until the next big earthquake hits California!)	The corner of Balance and Main isn't going anywhere. (At least, not until the next big earthquake hits California!)
You're here at the busy corner of Balance Street, which runs north-south, and Main Street. Well, it's USUALLY busy. Well, it was busy once.	You're here at the busy corner of Balance Street, which runs north-south, and Main Street. Well, it's USUALLY busy. Well, it was busy once.
Your shovel would break. And you'd get splinters in your hands and dirt in your eyes.	Your shovel would break. And you'd get splinters in your hands and dirt in your eyes.
Funny, there's no answer from that.	Funny, there's no answer from that.
You take the rope. Now that Smithie's closed up shop, he won't be missing it.	You take the rope. Now that Smithie's closed up shop, he won't be missing it.
Smithie left behind a coil of rope.	Smithie left behind a coil of rope.
You can't reach him from here!	You can't reach him from here!
Matt Shaker is shaking his doormat out the window again. It's best not to walk underneath.	Matt Shaker is shaking his doormat out the window again. It's best not to walk underneath.
Hey, Matt! Quit that! You're getting dust all over everything!	Hey, Matt! Quit that! You're getting dust all over everything!
Funny, Matt pays no attention to you.	Funny, Matt pays no attention to you.
You don't have a horse, whatta you need a saddle for?	You don't have a horse, whatta you need a saddle for?
If this old worn-out saddle could only talk... it would probably complain about the prevalence of beans in the standard cowhand diet.	If this old worn-out saddle could only talk... it would probably complain about the prevalence of beans in the standard cowhand diet.
From the condition of Coarsegold's sidewalks, it's easy to surmise the town lawyer left for greener pastures years ago!	From the condition of Coarsegold's sidewalks, it's easy to surmise the town lawyer left for greener pastures years ago!
You know it does no good to close the barn door once the Smithie's gone away!	You know it does no good to close the barn door once the Smithie's gone away!
Let Smithie decide if he wants his doors open or closed.	Let Smithie decide if he wants his doors open or closed.
Smithie has truly left town for good.	Smithie has truly left town for good.
It's the door to Smithie's Blacksmith shop.	It's the door to Smithie's Blacksmith shop.
I don't use none o' that moustache wax, Pharkas! I let muh soup keep muh moustache plastered in place!	I don't use none o' that moustache wax, Pharkas! I let muh soup keep muh moustache plastered in place!
Dab-nab it, Pharkas! Real men jes' don' go 'round a'touchin' other real men! 'Specially when they're as homophobic as we is!	Dab-nab it, Pharkas! Real men jes' don' go 'round a'touchin' other real men! 'Specially when they're as homophobic as we is!
Har! Muh hide's tough as leather, Pharkas. That thang'd just break off at the handle.	Har! Muh hide's tough as leather, Pharkas. That thang'd just break off at the handle.
Smithie, the village blacksmith, is a real hulk of humanity.	Smithie, the village blacksmith, is a real hulk of humanity.
Whut the Sam Hill y'expeck me to do with that medicine, Pharkas? I'm a strong, beefy kinda guy, I don't need no wuss medication!	Whut the Sam Hill y'expeck me to do with that medicine, Pharkas? I'm a strong, beefy kinda guy, I don't need no wuss medication!
I don' know nuttin' 'bout writin', Pharkas. That's more in your depar'ment.	I don' know nuttin' 'bout writin', Pharkas. That's more in your depar'ment.
You know, Smithie, I've been wondering about that horse of yours. What happened?	You know, Smithie, I've been wondering about that horse of yours. What happened?
Consarn neighborhood kids! Ya jes' can't leave anything outside at night any more without 'em strippin' it right down to the axles!	Consarn neighborhood kids! Ya jes' can't leave anything outside at night any more without 'em strippin' it right down to the axles!
How's business, Smithie?	How's business, Smithie?
Flatter'n cow plop, Pharkas! An' you?	Flatter'n cow plop, Pharkas! An' you?
