Welp, bring it back when it's full, and we'll get stinkin'!	Welp, bring it back when it's full, and we'll get stinkin'!
Hey! Smart thinkin', sonny! Didja get big points fer that?	Hey! Smart thinkin', sonny! Didja get big points fer that?
Pretty good, yeah.	Pretty good, yeah.
Well, all right then! Good goin'! Yew'll be a hero yet!	Well, all right then! Good goin'! Yew'll be a hero yet!
That stuff don't do me any good. M'hemorrhoids're too far gone for that pap. Little bit o' horse glue, though, an' I'm back in the saddle agin!	That stuff don't do me any good. M'hemorrhoids're too far gone for that pap. Little bit o' horse glue, though, an' I'm back in the saddle agin!
I don't drink beer!	I don't drink beer!
Yew bin drinkin' the wrong beer, then. Yuh need a beer with the flavor that stays with yuh, beer after beer.	Yew bin drinkin' the wrong beer, then. Yuh need a beer with the flavor that stays with yuh, beer after beer.
Hey, I may LOOK like an old goat, but I don't eat like one!	Hey, I may LOOK like an old goat, but I don't eat like one!
I cain't carve nuthin' with THAT! It ain't got a blade! 'Spoze I could poke holes in sumpthin' with it, but I don't really need to.	I cain't carve nuthin' with THAT! It ain't got a blade! 'Spoze I could poke holes in sumpthin' with it, but I don't really need to.
That's whut ya calls yer charcoal, boy. Whut of it?	That's whut ya calls yer charcoal, boy. Whut of it?
I'm not sure why I've got it.	I'm not sure why I've got it.
So what else is new, boy! You bin walkin' around, pickin' up everthing that ain't nailed down! You'll find a use for it eventually, I'm sure.	So what else is new, boy! You bin walkin' around, pickin' up everthing that ain't nailed down! You'll find a use for it eventually, I'm sure.
Don't whup me, boy! Don't whup me!	Don't whup me, boy! Don't whup me!
No thanks, I hate eatin' charcoal outta a feed bag.	No thanks, I hate eatin' charcoal outta a feed bag.
It's a gas mask, not a feed bag.	It's a gas mask, not a feed bag.
Well, whutever it is, I don't need to be strappin' it on like some danged fool. You go ahead. It suits you better.	Well, whutever it is, I don't need to be strappin' it on like some danged fool. You go ahead. It suits you better.
I don't need any of that pharmacy crap. I've got the constitution of an oxe. <wheeze> <hack> <cough>	I don't need any of that pharmacy crap. I've got the constitution of an oxe. <wheeze> <hack> <cough>
Escargot sushi!	Escargot sushi!
What what?	What what?
Never mind, kid. You'll learn whut it means in another 100 years or so. Now skedaddle!	Never mind, kid. You'll learn whut it means in another 100 years or so. Now skedaddle!
You don't owe me nothin'. Take it away afore I change m'mind.	You don't owe me nothin'. Take it away afore I change m'mind.
I dasn't drink beer, young 'un! How d'yall think I got to be this age?	I dasn't drink beer, young 'un! How d'yall think I got to be this age?
I don't know, sir.	I don't know, sir.
