You test the leather strap. Wow, it IS durable!	You test the leather strap. Wow, it IS durable!
A rugged leather strap... your mind reels with the possibilities!	A rugged leather strap... your mind reels with the possibilities!
You turn the paper over, looking for a return address or something, but there isn't one.	You turn the paper over, looking for a return address or something, but there isn't one.
You received this letter a few years back from your recently dearly-departed friend, Phil Graves:	You received this letter a few years back from your recently dearly-departed friend, Phil Graves:
"Dear Freddy, Thank you so very kindly for your recent gracious hospitality during my recent convalescence. The floor of your workroom proved a comfortable bed, and the stale Pharmacy goods you fed me staved off starvation quite adequately.	"Dear Freddy, Thank you so very kindly for your recent gracious hospitality during my recent convalescence. The floor of your workroom proved a comfortable bed, and the stale Pharmacy goods you fed me staved off starvation quite adequately.
"I must admit to being a little curious of your request that I retain your safety-deposit key for you; I cannot imagine what you have secured in that bank vault that could create such strong feelings of both revulsion and endearment.	"I must admit to being a little curious of your request that I retain your safety-deposit key for you; I cannot imagine what you have secured in that bank vault that could create such strong feelings of both revulsion and endearment.
"However, I have done as you asked and taken your key with me. I vow to you I will never return this key to you nor even allow it within your sight. I further swear to keep it with me wherever I go.	"However, I have done as you asked and taken your key with me. I vow to you I will never return this key to you nor even allow it within your sight. I further swear to keep it with me wherever I go.
"On this you have my word of honor, for I am, Ever your friend, Philip D. Graves"	"On this you have my word of honor, for I am, Ever your friend, Philip D. Graves"
It's solid silver! You can't bend it, break it, or scratch it.	It's solid silver! You can't bend it, break it, or scratch it.
It's Srini's 99.9% silver medallion, awarded to him by the American Society of Salves, Holistic Ointments, Liniments and Emollients Salesmen. (Think about it!)	It's Srini's 99.9% silver medallion, awarded to him by the American Society of Salves, Holistic Ointments, Liniments and Emollients Salesmen. (Think about it!)
I think I'll count my money.	I think I'll count my money.
Never do that when you're sitting at the table. (There'll be time enough for counting when the game is done.)	Never do that when you're sitting at the table. (There'll be time enough for counting when the game is done.)
Finally, you get your four dollars and eighty-seven cents! Smithie's pharmacy tab is paid in full at last!	Finally, you get your four dollars and eighty-seven cents! Smithie's pharmacy tab is paid in full at last!
Say, let me show you a little trick with a borrowed neckerchief... Now you see it...	Say, let me show you a little trick with a borrowed neckerchief... Now you see it...
Now you don't!	Now you don't!
Just kidding.	Just kidding.
Wow, if your old trusty neckerchief could only talk, boy, the stories this baby would tell!	Wow, if your old trusty neckerchief could only talk, boy, the stories this baby would tell!
The tank of nitrous oxide is sealed; there's no way to open its valve with your bare hands. (But tanks for trying!)	The tank of nitrous oxide is sealed; there's no way to open its valve with your bare hands. (But tanks for trying!)
Sal uses this canister of nitrous oxide, also known as "laughing gas," to make sure his customers leave with a smile!	Sal uses this canister of nitrous oxide, also known as "laughing gas," to make sure his customers leave with a smile!
You dip your little finger in one of the open bottles of beer and taste it. Mmm, that hits the spot!	You dip your little finger in one of the open bottles of beer and taste it. Mmm, that hits the spot!
You have a full case of opened Lowebrau. (Don't get caught with it in your buggy!)	You have a full case of opened Lowebrau. (Don't get caught with it in your buggy!)
You squish the pie a bit to see what oozes out. (You sincerely hope them's apples!)	You squish the pie a bit to see what oozes out. (You sincerely hope them's apples!)
Ah, there's nothing quite like Mom's Apple Pie. Now if someone would just invent baseball: VOILA! Instant Americana!	Ah, there's nothing quite like Mom's Apple Pie. Now if someone would just invent baseball: VOILA! Instant Americana!
You slip the bullets in the chamber as the old memories come rushing back (including a few featuring you and your first cousin out behind the barn, when you were both curious 8-year-olds!).	You slip the bullets in the chamber as the old memories come rushing back (including a few featuring you and your first cousin out behind the barn, when you were both curious 8-year-olds!).
With the Sheriff's cleaning kit, you lovingly clean and polish your old pistols 'til they're like new. Good thing you removed all that nasty rust from your barrel -- the damn thing could'a exploded right in your face!	With the Sheriff's cleaning kit, you lovingly clean and polish your old pistols 'til they're like new. Good thing you removed all that nasty rust from your barrel -- the damn thing could'a exploded right in your face!
After removing the bullets, you clean and polish your pistols 'til they shine like a Coarsegold kid with his first passing grade. Good thing you removed all that rust from your barrel -- the damn thing could'a exploded right in your face! When you're done, you replace the bullets in the chamber.	After removing the bullets, you clean and polish your pistols 'til they shine like a Coarsegold kid with his first passing grade. Good thing you removed all that rust from your barrel -- the damn thing could'a exploded right in your face! When you're done, you replace the bullets in the chamber.
You cock the hammers, twirl the pistols, fake a shot, and slowly let the hammers back up. YES! That feels good, damn good!	You cock the hammers, twirl the pistols, fake a shot, and slowly let the hammers back up. YES! That feels good, damn good!
You draw your pistol.	You draw your pistol.
You don't want to draw until you're ready to fire, and you can't possibly hit anything useful from here.	You don't want to draw until you're ready to fire, and you can't possibly hit anything useful from here.
Your old pistols, looking somewhat tarnished after so many years in storage, are probably still quite serviceable.	Your old pistols, looking somewhat tarnished after so many years in storage, are probably still quite serviceable.
Your old pistols, now cleaned and restored to their original working condition, bring back a flood of emotions, with memories of yesteryear!	Your old pistols, now cleaned and restored to their original working condition, bring back a flood of emotions, with memories of yesteryear!
Your pistols are clean and loaded for bear! Now you're cookin'!	Your pistols are clean and loaded for bear! Now you're cookin'!
Your old pistols are fully loaded with the Sheriff Chickenshift's surplus ammo.	Your old pistols are fully loaded with the Sheriff Chickenshift's surplus ammo.
You riffle through the stack of spicy French Postcards, but they just won't animate smoothly.	You riffle through the stack of spicy French Postcards, but they just won't animate smoothly.
Ooh-la-la and Va-va-voom! No, that's not an exclamation! That's the names of the two ladies prominently featured on Madame's spicy French postcards. (Or, rather, they're the two ladies with the prominent features on Madame's spicy French postcards!)	Ooh-la-la and Va-va-voom! No, that's not an exclamation! That's the names of the two ladies prominently featured on Madame's spicy French postcards. (Or, rather, they're the two ladies with the prominent features on Madame's spicy French postcards!)
You press down on the tube, and it crumples ever so slightly. (What WILL modern technology think of next??)	You press down on the tube, and it crumples ever so slightly. (What WILL modern technology think of next??)
The tube of Preparation G, the latest anti-hemorrhoidal unguent from the folks at Parke-Loomis, is labeled, "Top Tush Treatments -- since 1848!"	The tube of Preparation G, the latest anti-hemorrhoidal unguent from the folks at Parke-Loomis, is labeled, "Top Tush Treatments -- since 1848!"
You turn the prescription over, looking for a locker combination or something, but there's nothing written on the other side.	You turn the prescription over, looking for a locker combination or something, but there's nothing written on the other side.
Penelope Primm, 4 mls Tyloxpolynide orally 2x/5 days.	Penelope Primm, 4 mls Tyloxpolynide orally 2x/5 days.
Why, the poor dear! She must be suffering from the vapors, those injurious exhalations produced within the body, creating feelings of hypochondria and depression. (Her prescription is in Doc's usual scrawl, and smells of whisky, so you know it's authentic!)	Why, the poor dear! She must be suffering from the vapors, those injurious exhalations produced within the body, creating feelings of hypochondria and depression. (Her prescription is in Doc's usual scrawl, and smells of whisky, so you know it's authentic!)
You hold the prescription up to the light to see if you can see any secret messages, but nothing is visible.	You hold the prescription up to the light to see if you can see any secret messages, but nothing is visible.
Helen Back's prescription is barely legible due to all the whisky spots, but you eventually decipher it...	Helen Back's prescription is barely legible due to all the whisky spots, but you eventually decipher it...
Helen Back, Quinotrazate tabs, 3x/7 days.	Helen Back, Quinotrazate tabs, 3x/7 days.
You try reading it backwards, but it's still a whisky-sodden, poorly-written prescription. Dang that Doc Gillespie anyway!	You try reading it backwards, but it's still a whisky-sodden, poorly-written prescription. Dang that Doc Gillespie anyway!
This prescription is impossible to read. That's what happens when Doc writes a prescription through bleary, whisky-soaked eyeballs!	This prescription is impossible to read. That's what happens when Doc writes a prescription through bleary, whisky-soaked eyeballs!
You shake the solution up a bit, just to make sure it stays well-mixed.	You shake the solution up a bit, just to make sure it stays well-mixed.
This should do the trick! You decide to name it "Pharkas's Patented Anti-Poopulent." (Now if you could only find a way to insure everybody in town gets a dose.)	This should do the trick! You decide to name it "Pharkas's Patented Anti-Poopulent." (Now if you could only find a way to insure everybody in town gets a dose.)
With a few quick movements, you make an authentic Western lasso out of the rope. It's like falling off a log... once you learn how, you never forget!	With a few quick movements, you make an authentic Western lasso out of the rope. It's like falling off a log... once you learn how, you never forget!
This hank of rope is plenty sturdy. (Give yourself enough of it, and you'll hang yourself.)	This hank of rope is plenty sturdy. (Give yourself enough of it, and you'll hang yourself.)
You carefully feel the edge of your silver ear. It's a little ragged, but sharp as the dickens!	You carefully feel the edge of your silver ear. It's a little ragged, but sharp as the dickens!
