You must first place the balance pan on the balance.	You must first place the balance pan on the balance.
You don't need to weigh that mixture.	You don't need to weigh that mixture.
You can't mix chemicals in the balance. Weigh one item at a time.	You can't mix chemicals in the balance. Weigh one item at a time.
5 gm. Measuring Spatula	5 gm. Measuring Spatula
The spatula is already full of something. Empty it into an appropriate container before you do anything else with it.	The spatula is already full of something. Empty it into an appropriate container before you do anything else with it.
The spatula isn't suitable for measuring liquids.	The spatula isn't suitable for measuring liquids.
Click the spatula on the mixing device, not vice versa.	Click the spatula on the mixing device, not vice versa.
Stirring Rod	Stirring Rod
Your work area is a little dusty, but it's more than clean enough to continue your work.	Your work area is a little dusty, but it's more than clean enough to continue your work.
Click the chemical on the mixing device, not vice versa.	Click the chemical on the mixing device, not vice versa.
Place the chemical into the container, not vice versa.	Place the chemical into the container, not vice versa.
There's no need to measure it now, it's already mixed.	There's no need to measure it now, it's already mixed.
Click the measuring device on the container, not vice versa.	Click the measuring device on the container, not vice versa.
Prescription Boxes	Prescription Boxes
Medicine Bottle	Medicine Bottle
You only need to work with one medicine bottle at a time. Dump the contents if you need to start over.	You only need to work with one medicine bottle at a time. Dump the contents if you need to start over.
Balance pan	Balance pan
The balance pan is only for measuring unmixed chemicals.	The balance pan is only for measuring unmixed chemicals.
You can't mix chemicals in the balance pan.	You can't mix chemicals in the balance pan.
Disgusted at your inability to prepare the proper concoction, you discard your attempt in the waste receptacle and leave your laboratory.	Disgusted at your inability to prepare the proper concoction, you discard your attempt in the waste receptacle and leave your laboratory.
Gaseous Spectroscope	Gaseous Spectroscope
Good idea, Freddy. The spectrum lines on that etched glass viewer reveal volumes to those who know how to read.	Good idea, Freddy. The spectrum lines on that etched glass viewer reveal volumes to those who know how to read.
The gaseous spectroscope doesn't work unless the alcohol lamp is lit and the spectroscope has been placed in front of the lamp.	The gaseous spectroscope doesn't work unless the alcohol lamp is lit and the spectroscope has been placed in front of the lamp.
Crucible	Crucible
The crucible is only for melting pure, or nearly pure, metals.	The crucible is only for melting pure, or nearly pure, metals.
Before leaving your lab, you remove the medallion from the crucible.	Before leaving your lab, you remove the medallion from the crucible.
You've got a crucible of molten silver! You shouldn't leave the lab until you figure out something to do with it.	You've got a crucible of molten silver! You shouldn't leave the lab until you figure out something to do with it.
You quickly pour the molten silver into the empty mold.	You quickly pour the molten silver into the empty mold.
You can't sleep. You're too restless. Maybe because it's broad daylight.	You can't sleep. You're too restless. Maybe because it's broad daylight.
You'll never get back to sleep now. There's trouble afoot, and that gnaws at your gut. Or maybe it's that whole pouch of "Gummy Buffalo" you had just before you went to sleep!	You'll never get back to sleep now. There's trouble afoot, and that gnaws at your gut. Or maybe it's that whole pouch of "Gummy Buffalo" you had just before you went to sleep!
It's your Seamy Pasturepedic 100% rawhide-filled mattress. You bumped into it at a sidewalk sale. And fractured your shin. They let you take it home, which was cheaper than paying to have your leg fixed.	It's your Seamy Pasturepedic 100% rawhide-filled mattress. You bumped into it at a sidewalk sale. And fractured your shin. They let you take it home, which was cheaper than paying to have your leg fixed.
