That would probably do something, but nothing you need to do now.	That would probably do something, but nothing you need to do now.
Authentic Western Voices by Cam Clarke as Freddy Pharkas Neil Ross as The Narrator Kath Soucie as Penelope Primm Lewis Arquette as Whittlin' Willy Michael Gough as Kenny the Kid	Authentic Western Voices by Cam Clarke as Freddy Pharkas Neil Ross as The Narrator Kath Soucie as Penelope Primm Lewis Arquette as Whittlin' Willy Michael Gough as Kenny the Kid
Click here to change your cursor into the Look cursor, then click the Look cursor on the Inventory objects to examine them more closely.	Click here to change your cursor into the Look cursor, then click the Look cursor on the Inventory objects to examine them more closely.
Careful, you'll get your finger stuck in one of the bottles.	Careful, you'll get your finger stuck in one of the bottles.
You coyly avoid a trip to the outhouse... but you refuse to carry that bottle around any more!	You coyly avoid a trip to the outhouse... but you refuse to carry that bottle around any more!
Translation: No thanks, but if you run across any wooden doggie legs, I'll take two... one for a spare.	Translation: No thanks, but if you run across any wooden doggie legs, I'll take two... one for a spare.
You like the poncho, eh? The poncho, she's pretty, eh? I getta you a poncho some day!	You like the poncho, eh? The poncho, she's pretty, eh? I getta you a poncho some day!
Sierra Technical Support	Sierra Technical Support
out of 999 points! Not bad fer a tenderfoot!	out of 999 points! Not bad fer a tenderfoot!
You just can't face exploring that cliff face!	You just can't face exploring that cliff face!
The horse is humming "Don't Fence Me In" and doesn't care to be petted.	The horse is humming "Don't Fence Me In" and doesn't care to be petted.
Hey, knock off the sound effects already!	Hey, knock off the sound effects already!
Apparently Mom's jumping on the comedy club bandwagon. The sign reads, "Coming soon -- Open Megaphone Night. Take your best shot! You'll die laughing!"	Apparently Mom's jumping on the comedy club bandwagon. The sign reads, "Coming soon -- Open Megaphone Night. Take your best shot! You'll die laughing!"
The store's sealed up tight. Locked. Shuttered. Off-limits. Verbotten. Out of Service. Padlocked. Folded. Bolted. Latched. Finished. Kaput. Ceased to be. It has expired. This is an ex-General Store.	The store's sealed up tight. Locked. Shuttered. Off-limits. Verbotten. Out of Service. Padlocked. Folded. Bolted. Latched. Finished. Kaput. Ceased to be. It has expired. This is an ex-General Store.
How goes it, Pete?	How goes it, Pete?
Yep!	Yep!
Only because I love to hear you laugh.	Only because I love to hear you laugh.
