You can't play now.	You can't play now.
You're going to play on the seesaw, when the whole town is about to be gassed? I think not.	You're going to play on the seesaw, when the whole town is about to be gassed? I think not.
You're not quite skillful enough to make a perfect three-point landing from the swing to the seesaw without breaking every bone in your body. (In other words, try it and you'll be the man with the flopping trapezium!)	You're not quite skillful enough to make a perfect three-point landing from the swing to the seesaw without breaking every bone in your body. (In other words, try it and you'll be the man with the flopping trapezium!)
You've got no reason to put that particular item on the seesaw.	You've got no reason to put that particular item on the seesaw.
It's a long plank firmly attached to some sort of axle, allowing one side to pivot upwards while the other side descends. When kids play on it, one of them teeters at the top and the other totters at the bottom. Say, you've got an idea for what you could call this thing...	It's a long plank firmly attached to some sort of axle, allowing one side to pivot upwards while the other side descends. When kids play on it, one of them teeters at the top and the other totters at the bottom. Say, you've got an idea for what you could call this thing...
(JUBILANTLY) A "kiddie-pult!"	(JUBILANTLY) A "kiddie-pult!"
The seesaw and the whole playground is deserted, no doubt because of the aroma. Funny, considering how infrequently the kids around here bathe, you wouldn't think they'd have noticed the horsey smell!	The seesaw and the whole playground is deserted, no doubt because of the aroma. Funny, considering how infrequently the kids around here bathe, you wouldn't think they'd have noticed the horsey smell!
Sissy is in a foul mood. He'll bite your finger clean off.	Sissy is in a foul mood. He'll bite your finger clean off.
The child's sullen stare prevents you from attempting to interact in a constructive way.	The child's sullen stare prevents you from attempting to interact in a constructive way.
It's Sissy, playing on the slide! The boys call him that because his mother dresses him so effeminately!)	It's Sissy, playing on the slide! The boys call him that because his mother dresses him so effeminately!)
Hello, Sissy. My, your golden locks are looking pretty today!	Hello, Sissy. My, your golden locks are looking pretty today!
Sissy glares at you with a look that says, "I know 1,000 ways to cause pain to a human body. You wanna start counting?"	Sissy glares at you with a look that says, "I know 1,000 ways to cause pain to a human body. You wanna start counting?"
After you went to all the trouble of stealing the ladder, now you want to try and redeem yourself by putting it back? Too late!	After you went to all the trouble of stealing the ladder, now you want to try and redeem yourself by putting it back? Too late!
Kids climb to the top of this long curved plank and then slide down. Geez, ain't technology wonderful?	Kids climb to the top of this long curved plank and then slide down. Geez, ain't technology wonderful?
It's not polite to point at the street.	It's not polite to point at the street.
It's Edukashun Lane. Which reminds you of a little joke. What does the "N" on the Nebraska Cornhuskers helmet stand for? Knowledge!	It's Edukashun Lane. Which reminds you of a little joke. What does the "N" on the Nebraska Cornhuskers helmet stand for? Knowledge!
You've swung enough.	You've swung enough.
The swing is in use.	The swing is in use.
Yes, the swing would let you get up a few feet in the atmosphere and perhaps escape the horrible fumes, but it wouldn't last long.	Yes, the swing would let you get up a few feet in the atmosphere and perhaps escape the horrible fumes, but it wouldn't last long.
It's a short plank on two ropes, hung from a tree. Another high-tech children's amusement device!	It's a short plank on two ropes, hung from a tree. Another high-tech children's amusement device!
There's nobody playing on the swing right now, doubtless due to the toxic fumes.	There's nobody playing on the swing right now, doubtless due to the toxic fumes.
You consider shimmying up the tree, but your pelvis is simply too narrow to accommodate the girth of that trunk! (A feeling not wholly unfamiliar to Madame Ovaree!)	You consider shimmying up the tree, but your pelvis is simply too narrow to accommodate the girth of that trunk! (A feeling not wholly unfamiliar to Madame Ovaree!)
It's either a spreading chestnut tree or a shedding sprucenut tree.	It's either a spreading chestnut tree or a shedding sprucenut tree.
The windows can only be opened or closed from the inside.	The windows can only be opened or closed from the inside.
You can see the inside of the schoolhouse through the windows. It looks pretty much like the interior of a schoolhouse.	You can see the inside of the schoolhouse through the windows. It looks pretty much like the interior of a schoolhouse.
This ladder is propped up against the slide so the kids can play.	This ladder is propped up against the slide so the kids can play.
Good idea, Freddy! Wreck the little kids' playground equipment! You meany!	Good idea, Freddy! Wreck the little kids' playground equipment! You meany!
Don't go poking in there; that's where the tramps hang out. If you wanna poke some tramps, go to the Brothel!	Don't go poking in there; that's where the tramps hang out. If you wanna poke some tramps, go to the Brothel!
The old red schoolhouse, the most solidly-built structure in town.	The old red schoolhouse, the most solidly-built structure in town.
Hey, be careful! It IS the most solidly-built structure in town, but that's not saying much.	Hey, be careful! It IS the most solidly-built structure in town, but that's not saying much.
Flames jut from every loose board and hole in the old Assay Office! It must be arson! 'Cuz everything flammable in the Assay Office was stolen ages ago!	Flames jut from every loose board and hole in the old Assay Office! It must be arson! 'Cuz everything flammable in the Assay Office was stolen ages ago!
You're too uncoordinated to heave the baking soda AND hold onto the swing at the same time. Maybe you should practice on smaller accomplishments first... like walking and chewing tobacco at the same time!	You're too uncoordinated to heave the baking soda AND hold onto the swing at the same time. Maybe you should practice on smaller accomplishments first... like walking and chewing tobacco at the same time!
Baking soda is everywhere, the result of your clever (though inadequate) solution to putting out the fire.	Baking soda is everywhere, the result of your clever (though inadequate) solution to putting out the fire.
The piles of baking soda aren't worth picking up. But, hey, it was thrifty of you to try!	The piles of baking soda aren't worth picking up. But, hey, it was thrifty of you to try!
What pluck! What prowess! What a ridiculous solution! (Still, you thought of it!)	What pluck! What prowess! What a ridiculous solution! (Still, you thought of it!)
You singlehandedly quenched the flames of the Assay Office by using the seesaw as a catapult for the baking soda! Too bad nobody was here to see it. They'll never believe you in the morning.	You singlehandedly quenched the flames of the Assay Office by using the seesaw as a catapult for the baking soda! Too bad nobody was here to see it. They'll never believe you in the morning.
You've deposited your load of baking soda on one end of the teeter-totter. (Let's hope you know what you're doing!)	You've deposited your load of baking soda on one end of the teeter-totter. (Let's hope you know what you're doing!)
You can't reach the baking soda from way up here!	You can't reach the baking soda from way up here!
This big ol' water tower was previously used by the train station; now it's junk.	This big ol' water tower was previously used by the train station; now it's junk.
It's dangerously rickety; you don't want to go around disturbing it. Like Ol' Doc, it'll fall over eventually anyway.	It's dangerously rickety; you don't want to go around disturbing it. Like Ol' Doc, it'll fall over eventually anyway.
You've got more important matters to attend to than pulling down this old wreck of a water tower!	You've got more important matters to attend to than pulling down this old wreck of a water tower!
There's no need to lasso the water tower; you'll yank it right down!	There's no need to lasso the water tower; you'll yank it right down!
Over yonder is the Old Abandoned Miner's Commissary, where the miners used to eat before the mine closed down. Of course, the food over there is as fresh now as the day it was made!	Over yonder is the Old Abandoned Miner's Commissary, where the miners used to eat before the mine closed down. Of course, the food over there is as fresh now as the day it was made!
You can't possibly reach that house from here.	You can't possibly reach that house from here.
(SING BADLY) It's the last train to Coarsegold, and it's sunken at the station.	(SING BADLY) It's the last train to Coarsegold, and it's sunken at the station.
"I |c2|thought|c| I could, I |c2|thought|c| I could, I |c2|thought|c| I could..."	"I |c2|thought|c| I could, I |c2|thought|c| I could, I |c2|thought|c| I could..."
You don't feel like taking the train right now! (And you can't get over to it, nohow.)	You don't feel like taking the train right now! (And you can't get over to it, nohow.)
This is the thick, bubbly, foul dark water that seems to be oozing from the ground all through town and creating nothing but a messy problem for the townsfolk.	This is the thick, bubbly, foul dark water that seems to be oozing from the ground all through town and creating nothing but a messy problem for the townsfolk.
You don't want to touch it. It gets all over everything, smells bad, and won't come off.	You don't want to touch it. It gets all over everything, smells bad, and won't come off.
Why not just walk on out there to the middle of the swamp and give it a try?	Why not just walk on out there to the middle of the swamp and give it a try?
Main Street comes to an end here in the thick, mucky swamp; beyond it lies the Old Abandoned Mine.	Main Street comes to an end here in the thick, mucky swamp; beyond it lies the Old Abandoned Mine.
Your words bounce over the swamp and echo into nothingness.	Your words bounce over the swamp and echo into nothingness.
You leave that right where it is, ya young whippersnapper!	You leave that right where it is, ya young whippersnapper!
That would be like trying to dig up mud.	That would be like trying to dig up mud.
That's the Old Abandoned Mine, once run by the Old Abandoned Mine Company, Inc. You remember blowing it up in the demo! (It was Coarsegold's original "'Ore House!")	That's the Old Abandoned Mine, once run by the Old Abandoned Mine Company, Inc. You remember blowing it up in the demo! (It was Coarsegold's original "'Ore House!")
You can't take it, it's not yours! Besides, there's no way over to the mine anymore, what with the swamp getting wider, thicker and deeper all the time.	You can't take it, it's not yours! Besides, there's no way over to the mine anymore, what with the swamp getting wider, thicker and deeper all the time.
This tree isn't doing too well, what with its roots soaking up all that mucky swampwater.	This tree isn't doing too well, what with its roots soaking up all that mucky swampwater.
It feels solid on the outside. (But it's retching on the inside!)	It feels solid on the outside. (But it's retching on the inside!)
Could I have misjudged the surface tension?	Could I have misjudged the surface tension?
The swamp seems thick enough to hold your weight!	The swamp seems thick enough to hold your weight!
Some unhealthy-looking scrub grows in the area.	Some unhealthy-looking scrub grows in the area.
You've got no use for these sickly shrubs.	You've got no use for these sickly shrubs.
The shrubs here by the swamp are particularly sad-looking.	The shrubs here by the swamp are particularly sad-looking.
You don't want to be carrying around any sickly plants.	You don't want to be carrying around any sickly plants.
You remember a time, not too long ago, when these leaves were glossy and healthy.	You remember a time, not too long ago, when these leaves were glossy and healthy.
The leaves are far out of reach, along with everything else on the far side of the swamp.	The leaves are far out of reach, along with everything else on the far side of the swamp.
The tree leaves here are dying and diseased.	The tree leaves here are dying and diseased.
You wouldn't want those leaves even if you could reach 'em.	You wouldn't want those leaves even if you could reach 'em.
The Old Abandoned Mine Office is no longer used. But it's still fondly remembered!	The Old Abandoned Mine Office is no longer used. But it's still fondly remembered!
The Old Abandoned Mine Office is too far away to reach.	The Old Abandoned Mine Office is too far away to reach.
These old mining car tracks are rusted and beyond their useful lives.	These old mining car tracks are rusted and beyond their useful lives.
You can't reach those tracks from this side of the swamp!	You can't reach those tracks from this side of the swamp!
Something awful and fetid is bubbling up in great big blurps from the murky depths of the swamp.	Something awful and fetid is bubbling up in great big blurps from the murky depths of the swamp.
Yuck! Your skin crawls at the very thought.	Yuck! Your skin crawls at the very thought.
Chances are you'll need that. Don't be tossing it into the swamp.	Chances are you'll need that. Don't be tossing it into the swamp.
Why not just walk on out there to the bubbles and try to do some digging?	Why not just walk on out there to the bubbles and try to do some digging?
This is the west end of Bluff Street, which runs parallel to Main Street. Collier Bluff sweeps across the north side the street here; beyond it stretches the great painted desert. But you can't get there from here! (In fact, you can't get there from anywhere.)	This is the west end of Bluff Street, which runs parallel to Main Street. Collier Bluff sweeps across the north side the street here; beyond it stretches the great painted desert. But you can't get there from here! (In fact, you can't get there from anywhere.)
You start to say something to that, but think better of it.	You start to say something to that, but think better of it.
Bluff Street is just a little too large to take with you.	Bluff Street is just a little too large to take with you.
The ground here is too hard for digging.	The ground here is too hard for digging.
The trees of Coarsegold, like the citizens, grow gnarled and bent.	The trees of Coarsegold, like the citizens, grow gnarled and bent.
These branches are high out of reach. It's a perspective thing.	These branches are high out of reach. It's a perspective thing.
That's Hyman Untertaekker's shop. He's the town undertaker.	That's Hyman Untertaekker's shop. He's the town undertaker.
The place appears to be locked and shuttered. Come to think of it, you haven't seen Hyman in a couple of days. Ordinarily, that would be suspicious. But given what's been happening in town lately, it seems pretty normal.	The place appears to be locked and shuttered. Come to think of it, you haven't seen Hyman in a couple of days. Ordinarily, that would be suspicious. But given what's been happening in town lately, it seems pretty normal.
High in the sky stands the town gallows. (Ernest & Julio GallowsO4 Brand Lynching Equipment: "We will hang no man before his time.")	High in the sky stands the town gallows. (Ernest & Julio GallowsO4 Brand Lynching Equipment: "We will hang no man before his time.")
It's Temple Beth-Gesundheit.	It's Temple Beth-Gesundheit.
The Synagogue is closed. There are no Jews in Coarsegold, there never were. But the building contractor and the architect sure had fun scaring the folks of Coarsegold!	The Synagogue is closed. There are no Jews in Coarsegold, there never were. But the building contractor and the architect sure had fun scaring the folks of Coarsegold!
An Old Abandoned shack stands by the alleyway between Bluff and Main Streets.	An Old Abandoned shack stands by the alleyway between Bluff and Main Streets.
Hands off, this property belongs to the Old Abandoned Company.	Hands off, this property belongs to the Old Abandoned Company.
The sign says "Hyman Untertaekker... Und You're Not!"	The sign says "Hyman Untertaekker... Und You're Not!"
If you're looking for a sign, maybe you should play one of those Bible Trivia games.	If you're looking for a sign, maybe you should play one of those Bible Trivia games.
They started to build an outhouse here, but municipal funds ran out during construction. So the builder did a half-assed job!	They started to build an outhouse here, but municipal funds ran out during construction. So the builder did a half-assed job!
It seems unusually wobbly, even for an outhouse.	It seems unusually wobbly, even for an outhouse.
The tall stone fenceposts are pebbled and worn from years of rain, wind and tourists.	The tall stone fenceposts are pebbled and worn from years of rain, wind and tourists.
The fenceposts feel pebbled and rough from years of wind, rain and tourists. Of course, you could have known THAT just by looking at them!	The fenceposts feel pebbled and rough from years of wind, rain and tourists. Of course, you could have known THAT just by looking at them!
That's a Shears Craftsperson Graveyard-Quality Shovel standing in the dirt.	That's a Shears Craftsperson Graveyard-Quality Shovel standing in the dirt.
You consider doing your crooning routine, using the shovel as a mike stand. But hey, where's the audience?	You consider doing your crooning routine, using the shovel as a mike stand. But hey, where's the audience?
Glancing furtively around to see if Doug's within sight, you grab his shovel.	Glancing furtively around to see if Doug's within sight, you grab his shovel.
You can't reach the shovel from out here.	You can't reach the shovel from out here.
There's a recently-filled grave in ReBoot Hill.	There's a recently-filled grave in ReBoot Hill.
It's bad enough that you want to take dirt from someone's grave... but do you have to do it with your bare hands, too?	It's bad enough that you want to take dirt from someone's grave... but do you have to do it with your bare hands, too?
You don't need any more clay from the grave.	You don't need any more clay from the grave.
You can't reach the grave from this side of the fence.	You can't reach the grave from this side of the fence.
You start to dig up the freshly-laid grave. Muscles that haven't been used in years begin to groan and whine. But with the gritty determination of a professional grave-robber, you toil on... and on... and on...	You start to dig up the freshly-laid grave. Muscles that haven't been used in years begin to groan and whine. But with the gritty determination of a professional grave-robber, you toil on... and on... and on...
You can't dig up the grave from here!	You can't dig up the grave from here!
Finally, after digging for what seems to be hours (but through the miracle of computer animation, only takes YOU a few seconds), you uncover the casket of... your ol' buddy Phil Graves! You open up the casket and take a look.	Finally, after digging for what seems to be hours (but through the miracle of computer animation, only takes YOU a few seconds), you uncover the casket of... your ol' buddy Phil Graves! You open up the casket and take a look.
Y'know, most people can't carry off this "rigor mortis" thing and still look stylish and relaxed. But Phil wears it really well.	Y'know, most people can't carry off this "rigor mortis" thing and still look stylish and relaxed. But Phil wears it really well.
Doug McCarkus, the town's lone gravedigger, performs his sad, solitary task at graveside. (If you listen close, you can hear him muttering something about Union rules.)	Doug McCarkus, the town's lone gravedigger, performs his sad, solitary task at graveside. (If you listen close, you can hear him muttering something about Union rules.)
Hey, Doug, you big lug! How's it going?	Hey, Doug, you big lug! How's it going?
Doug shrugs.	Doug shrugs.
Don't bug Doug 'til his digging's dug.	Don't bug Doug 'til his digging's dug.
It's a pile of rich, reddish dirt from the grave. (In fact, it's more clay than dirt, which explains all the lush growth around here!)	It's a pile of rich, reddish dirt from the grave. (In fact, it's more clay than dirt, which explains all the lush growth around here!)
You grab a handful of clay from the pile beside the grave. (Well, you never know, it COULD come in handy.)	You grab a handful of clay from the pile beside the grave. (Well, you never know, it COULD come in handy.)
You can't reach that pile of dirt from here.	You can't reach that pile of dirt from here.
You've already got enough clay for one game.	You've already got enough clay for one game.
You've taken your clay; now lie in it.	You've taken your clay; now lie in it.
It's an open grave. Even a world-weary, seen-it-all Pharmacist like yourself, one who deals with cold sores, headaches, and diarrhea on a daily basis, still can't shake that uneasy feeling one gets when standing close to Death.	It's an open grave. Even a world-weary, seen-it-all Pharmacist like yourself, one who deals with cold sores, headaches, and diarrhea on a daily basis, still can't shake that uneasy feeling one gets when standing close to Death.
What are you looking for, gold fillings? C'mon, you've defiled Phil Graves' unfilled grave enough already!	What are you looking for, gold fillings? C'mon, you've defiled Phil Graves' unfilled grave enough already!
You carefully search through the many pockets of Graves's three-dollar suit, until you discover... the safe deposit box key you entrusted to Phil oh so many years ago!	You carefully search through the many pockets of Graves's three-dollar suit, until you discover... the safe deposit box key you entrusted to Phil oh so many years ago!
You can't reach the open grave from here.	You can't reach the open grave from here.
That's okay, you just keep that key. Phil doesn't need it back.	That's okay, you just keep that key. Phil doesn't need it back.
In a touching display of emotion (and a hidden desire to carry a little less around with you), you fold up Philip's letter and place it under his folded hands.	In a touching display of emotion (and a hidden desire to carry a little less around with you), you fold up Philip's letter and place it under his folded hands.
I guess this makes Phil a correspondence corpse!	I guess this makes Phil a correspondence corpse!
You begin the arduous task of replacing the heaping mound of dirt, one shovelful at a time... over... and over... and over...	You begin the arduous task of replacing the heaping mound of dirt, one shovelful at a time... over... and over... and over...
You can't use the shovel on the grave from out here.	You can't use the shovel on the grave from out here.
Finally, after what seems like only a few seconds (but which, through the miracle of good programming, actually takes you several hours), you carefully fill up Philip's grave!	Finally, after what seems like only a few seconds (but which, through the miracle of good programming, actually takes you several hours), you carefully fill up Philip's grave!
A noose swings lazily in the breeze... always a gloomy sign.	A noose swings lazily in the breeze... always a gloomy sign.
You know what I always say... "No noose is good noose!"	You know what I always say... "No noose is good noose!"
Hey, what's noose? How's it hangin'?	Hey, what's noose? How's it hangin'?
The noose seems to say, "Knot too well. Can't talk now, I'm all tied up!"	The noose seems to say, "Knot too well. Can't talk now, I'm all tied up!"
But it's knot within reach!	But it's knot within reach!
A rickety old fence stands by Collier Bluff, ready to fall down at any second.	A rickety old fence stands by Collier Bluff, ready to fall down at any second.
You give it a shake, and the whole length of fence quivers. Dry rot and bullet holes have sapped the wood of its strength.	You give it a shake, and the whole length of fence quivers. Dry rot and bullet holes have sapped the wood of its strength.
One of those bottles is full of water; drink it before you do anything else!	One of those bottles is full of water; drink it before you do anything else!
There's no point in setting up target practice until you're ready to start shooting!	There's no point in setting up target practice until you're ready to start shooting!
You can't reach the fence from here. But keep stretching; you'll add inches to your biceps and tone those lateral obliques!	You can't reach the fence from here. But keep stretching; you'll add inches to your biceps and tone those lateral obliques!
Srini's waiting for you to start your target practice.	Srini's waiting for you to start your target practice.
From here, it looks like Srini, your faithful Indian sidekick!	From here, it looks like Srini, your faithful Indian sidekick!
Srini is patiently waiting for you to get your gunslingin' outfit together.	Srini is patiently waiting for you to get your gunslingin' outfit together.
Welp, Srini, I think I'm ready to try some target-shooting. You ready?	Welp, Srini, I think I'm ready to try some target-shooting. You ready?
Of certainly. I am without a desire to wait any further for to stand in front of your blazing guns and take my life in your hands to help you perfect your shooting.	Of certainly. I am without a desire to wait any further for to stand in front of your blazing guns and take my life in your hands to help you perfect your shooting.
How do you wanna start?	How do you wanna start?
Perhaps it would be besting if you placed some targets upon the fenceposts, for a commencement.	Perhaps it would be besting if you placed some targets upon the fenceposts, for a commencement.
Don't yell from here. You'll wake the dead!	Don't yell from here. You'll wake the dead!
Srini, what are you waiting for?	Srini, what are you waiting for?
You! The soonest you can arrange a disguisement of your right ear, and complete an outfit most befitting of a gunslinging-type person, the soonest we can get you dressed!	You! The soonest you can arrange a disguisement of your right ear, and complete an outfit most befitting of a gunslinging-type person, the soonest we can get you dressed!
Close physical contact between men is frowned upon in your country, is it not?	Close physical contact between men is frowned upon in your country, is it not?
I guess so.	I guess so.
Good! Please to keeping it thusly.	Good! Please to keeping it thusly.
You can't poke Srini from here!	You can't poke Srini from here!
You'll have to get closer to him.	You'll have to get closer to him.
Those bottles would be making excellent target practice targets, Freddy! If it were not for the filling of water in one of them. Drink up!	Those bottles would be making excellent target practice targets, Freddy! If it were not for the filling of water in one of them. Drink up!
In my country, we have struggled for years to learn to do without the need for ice picks.	In my country, we have struggled for years to learn to do without the need for ice picks.
Provided you are prepared to practice shooting, set the bottles upon the fenceposts and we can commence to begin starting!	Provided you are prepared to practice shooting, set the bottles upon the fenceposts and we can commence to begin starting!
You are a most fortunate individual to be holding keys. I struggle much of my life to find keys.	You are a most fortunate individual to be holding keys. I struggle much of my life to find keys.
Srini, my boy, you just have to know where to click.	Srini, my boy, you just have to know where to click.
You do? Humph and humph! I have never thought of clicking!	You do? Humph and humph! I have never thought of clicking!
The ladder that saved my life! I remember it finely!	The ladder that saved my life! I remember it finely!
Are these for keepsies?	Are these for keepsies?
Um... I was just showing them to you.	Um... I was just showing them to you.
I do not want them. Your American women are too skinny as it is.	I do not want them. Your American women are too skinny as it is.
Do not threaten me, Freddy Pharkas! I am working out as well as I am!	Do not threaten me, Freddy Pharkas! I am working out as well as I am!
I am dodging too fast for you to see. That is the way of my people.	I am dodging too fast for you to see. That is the way of my people.
Ah, apple pie. I look at it and can think only of the screams of thousands of apples dying for your pie. I do not understand how a thinking person can partake of it. But I love us both for our differences.	Ah, apple pie. I look at it and can think only of the screams of thousands of apples dying for your pie. I do not understand how a thinking person can partake of it. But I love us both for our differences.
I prefer Golden Shower Herbal Tea. I like mine tepid... with a twist!	I prefer Golden Shower Herbal Tea. I like mine tepid... with a twist!
Ooh, you keep that now, Freddy Pharkas. You can be using it to ensure guns are clean enough to use with impunity.	Ooh, you keep that now, Freddy Pharkas. You can be using it to ensure guns are clean enough to use with impunity.
They appear as though to be most effective, they are having to be propelled with much force from a firing chamber!	They appear as though to be most effective, they are having to be propelled with much force from a firing chamber!
Oh! You have clay! Now you are really the hero I thought you were!	Oh! You have clay! Now you are really the hero I thought you were!
That is a most handsome and clever use of my medallion! Now all you need is other things for your disguise.	That is a most handsome and clever use of my medallion! Now all you need is other things for your disguise.
What else do I need?	What else do I need?
I believe you should have something different than your current shoes, something other than your current clothes, loaded and cleaned pistols, and something for good luck! Then wear your ear, and I will know you are ready to be all dressed up like a big cowboy!	I believe you should have something different than your current shoes, something other than your current clothes, loaded and cleaned pistols, and something for good luck! Then wear your ear, and I will know you are ready to be all dressed up like a big cowboy!
You keep those, Freddy Pharkas! They can help make you look like a real Western Hero!	You keep those, Freddy Pharkas! They can help make you look like a real Western Hero!
As, yes! It will be ready on Tuesday! Hee hee hee. I have made a funny. Excuse my jocularity. I do not know whence this piece of paper comes.	As, yes! It will be ready on Tuesday! Hee hee hee. I have made a funny. Excuse my jocularity. I do not know whence this piece of paper comes.
Yes, they are truly boots worthy of a Western Hero! May you have an opportunity to wear them with pridefulness.	Yes, they are truly boots worthy of a Western Hero! May you have an opportunity to wear them with pridefulness.
I do not recognize it, but it is a handsome addition to any wardrobe.	I do not recognize it, but it is a handsome addition to any wardrobe.
This is your personal mail. I am not reading it now or ever!	This is your personal mail. I am not reading it now or ever!
You are walking around with a shovel. Surely that is unusual.	You are walking around with a shovel. Surely that is unusual.
That Freddy Pharkas! I never know what to expect from you yet!	That Freddy Pharkas! I never know what to expect from you yet!
I am full up of that. But thanks to you anyway.	I am full up of that. But thanks to you anyway.
You are a lost-wax casting fool, Freddy Pharkas! Ways to go!	You are a lost-wax casting fool, Freddy Pharkas! Ways to go!
